Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person and Vehicle search,2020-02-01T02:19:25+00:00,51.516006,-0.080573,Female,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2020-02-01 02:19:25+00:00
Person search,2020-02-01T02:30:37+00:00,51.516006,-0.080573,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,True,False,2020-02-01 02:30:37+00:00
Person search,2020-02-01T03:52:46+00:00,51.516814,-0.08162,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,True,2020-02-01 03:52:46+00:00
Person search,2020-02-01T04:40:48+00:00,51.516814,-0.08162,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2020-02-01 04:40:48+00:00
Person search,2020-02-01T05:32:48+00:00,51.516814,-0.08162,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,True,False,2020-02-01 05:32:48+00:00
Person search,2020-02-01T08:51:24+00:00,51.516814,-0.08162,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2020-02-01 08:51:24+00:00
Person search,2020-02-01T09:31:00+00:00,51.508066,-0.08778,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,True,False,2020-02-01 09:31:00+00:00
Person search,2020-02-01T09:32:04+00:00,51.508066,-0.08778,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,True,False,2020-02-01 09:32:04+00:00
Person and Vehicle search,2020-02-01T09:35:32+00:00,51.51768,-0.078484,Male,25-34,Misuse of Drugs Act 1971 (section 23),Evidence of offences under the Act,A no further action disposal,False,False,2020-02-01 09:35:32+00:00
Person and Vehicle search,2020-02-01T09:41:56+00:00,51.51768,-0.078484,Male,25-34,Misuse of Drugs Act 1971 (section 23),Evidence of offences under the Act,A no further action disposal,False,False,2020-02-01 09:41:56+00:00
Person and Vehicle search,2020-02-01T10:41:34+00:00,51.51265,-0.101452,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2020-02-01 10:41:34+00:00
Person search,2020-02-01T11:45:27+00:00,51.510671,-0.084284,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2020-02-01 11:45:27+00:00
Person search,2020-02-01T12:33:21+00:00,51.510671,-0.084284,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2020-02-01 12:33:21+00:00
