Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person search,2016-08-01T00:15:00+00:00,51.402451,-0.241912,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,,,2016-08-01 00:15:00+00:00
Person search,2016-08-01T00:15:00+00:00,51.527361,0.023893,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,,2016-08-01 00:15:00+00:00
Person search,2016-08-01T00:20:00+00:00,51.550877,-0.21958,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,,,2016-08-01 00:20:00+00:00
Person and Vehicle search,2016-08-01T00:25:00+00:00,51.450169,0.119987,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,Nothing found - no further action,,,2016-08-01 00:25:00+00:00
Vehicle search,2016-08-01T00:40:00+00:00,51.367622,-0.120746,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,,,2016-08-01 00:40:00+00:00
Person search,2016-08-01T00:40:00+00:00,51.490914,0.093023,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,,2016-08-01 00:40:00+00:00
Person search,2016-08-01T00:40:00+00:00,51.490914,0.093023,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,,2016-08-01 00:40:00+00:00
Person search,2016-08-01T00:44:00+00:00,51.490914,0.093023,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,,,2016-08-01 00:44:00+00:00
Person and Vehicle search,2016-08-01T00:45:00+00:00,51.546613,0.031237,Female,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,,2016-08-01 00:45:00+00:00
Person search,2016-08-01T00:45:00+00:00,51.490914,0.093023,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,,,2016-08-01 00:45:00+00:00
Person search,2016-08-01T00:45:00+00:00,51.490914,0.093023,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,,2016-08-01 00:45:00+00:00
Person and Vehicle search,2016-08-01T00:50:00+00:00,51.471284,-0.02579,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,,2016-08-01 00:50:00+00:00
Person and Vehicle search,2016-08-01T00:50:00+00:00,51.474505,-0.387444,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,,,2016-08-01 00:50:00+00:00
Person search,2016-08-01T00:52:00+00:00,51.53012,0.094691,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,Nothing found - no further action,,,2016-08-01 00:52:00+00:00
Person search,2016-08-01T00:55:00+00:00,51.388346,-0.112107,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,Nothing found - no further action,,,2016-08-01 00:55:00+00:00
Person and Vehicle search,2016-08-01T00:55:00+00:00,51.412176,-0.303775,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,,2016-08-01 00:55:00+00:00
Person search,2016-08-01T00:55:00+00:00,51.474505,-0.387444,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,,2016-08-01 00:55:00+00:00
Person search,2016-08-01T00:55:00+00:00,51.474505,-0.387444,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,,2016-08-01 00:55:00+00:00
Person and Vehicle search,2016-08-01T01:00:00+00:00,51.546613,0.031237,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given penalty notice,,,2016-08-01 01:00:00+00:00
Person and Vehicle search,2016-08-01T01:01:00+00:00,51.576054,-0.295199,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,,2016-08-01 01:01:00+00:00
Person search,2016-08-01T01:10:00+00:00,51.546371,-0.076007,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,,2016-08-01 01:10:00+00:00
Person search,2016-08-01T01:10:00+00:00,51.546371,-0.076007,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,,,2016-08-01 01:10:00+00:00
Person and Vehicle search,2016-08-01T01:20:00+00:00,51.488149,-0.129651,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,,2016-08-01 01:20:00+00:00
Person and Vehicle search,2016-08-01T01:20:00+00:00,51.488149,-0.129651,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,,2016-08-01 01:20:00+00:00
Person and Vehicle search,2016-08-01T01:25:00+00:00,51.467023,-0.103779,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,,,2016-08-01 01:25:00+00:00
Person search,2016-08-01T01:30:00+00:00,51.513701,-0.128273,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,,2016-08-01 01:30:00+00:00
Person and Vehicle search,2016-08-01T01:55:00+00:00,51.476791,-0.276942,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,Suspect arrested,,,2016-08-01 01:55:00+00:00
Person and Vehicle search,2016-08-01T02:00:00+00:00,51.536766,-0.061732,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,,,2016-08-01 02:00:00+00:00
Person search,2016-08-01T02:00:00+00:00,51.460236,-0.135888,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,Nothing found - no further action,,,2016-08-01 02:00:00+00:00
Person search,2016-08-01T02:00:00+00:00,51.461885,-0.137808,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,Nothing found - no further action,,,2016-08-01 02:00:00+00:00
Person search,2016-08-01T02:01:00+00:00,51.468263,-0.362051,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,,2016-08-01 02:01:00+00:00
Person and Vehicle search,2016-08-01T02:10:00+00:00,51.476791,-0.276942,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,Suspect arrested,,,2016-08-01 02:10:00+00:00
Person search,2016-08-01T02:25:00+00:00,51.459172,-0.39259,Male,over 34,Criminal Justice Act 1988 (section 139B),Articles for use in criminal damage,Nothing found - no further action,,,2016-08-01 02:25:00+00:00
Person search,2016-08-01T02:26:00+00:00,51.473855,-0.071111,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,Nothing found - no further action,,,2016-08-01 02:26:00+00:00
Person and Vehicle search,2016-08-01T03:20:00+00:00,51.676877,-0.035217,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,Suspect arrested,,,2016-08-01 03:20:00+00:00
Person and Vehicle search,2016-08-01T03:45:00+00:00,51.481412,0.122372,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,,,2016-08-01 03:45:00+00:00
Person and Vehicle search,2016-08-01T03:55:00+00:00,51.481412,0.122372,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,,2016-08-01 03:55:00+00:00
Person and Vehicle search,2016-08-01T04:18:00+00:00,51.511238,-0.133922,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,,2016-08-01 04:18:00+00:00
Person search,2016-08-01T06:35:00+00:00,51.551747,-0.107412,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,,2016-08-01 06:35:00+00:00
Person search,2016-08-01T07:43:00+00:00,51.510083,-0.375394,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,,2016-08-01 07:43:00+00:00
Person search,2016-08-01T07:45:00+00:00,51.461172,-0.115667,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,Nothing found - no further action,,,2016-08-01 07:45:00+00:00
Person and Vehicle search,2016-08-01T07:53:00+00:00,51.510083,-0.375394,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,,2016-08-01 07:53:00+00:00
Person search,2016-08-01T08:15:00+00:00,51.534142,-0.114847,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,,2016-08-01 08:15:00+00:00
Person search,2016-08-01T08:20:00+00:00,51.479783,-0.008818,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,,2016-08-01 08:20:00+00:00
Person and Vehicle search,2016-08-01T08:20:00+00:00,51.420187,-0.286378,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,,,2016-08-01 08:20:00+00:00
Person search,2016-08-01T08:25:00+00:00,51.50798,-0.123651,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,,,2016-08-01 08:25:00+00:00
