Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person search,2022-11-08T11:35:00+00:00,51.588684,-0.06072,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2022-11-08 11:35:00+00:00
Person search,2022-11-08T11:35:00+00:00,51.634299,-0.048199,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Penalty Notice for Disorder,,,2022-11-08 11:35:00+00:00
Person search,2022-11-08T11:40:00+00:00,51.514762,-0.062335,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2022-11-08 11:40:00+00:00
Person search,2022-11-08T11:45:00+00:00,51.496711,-0.137095,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-08 11:45:00+00:00
Person search,2022-11-08T11:48:00+00:00,51.463166,-0.015775,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,,,2022-11-08 11:48:00+00:00
Person search,2022-11-08T11:55:00+00:00,51.513498,-0.130169,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,2022-11-08 11:55:00+00:00
Person search,2022-11-08T11:57:00+00:00,51.588684,-0.06072,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,,,2022-11-08 11:57:00+00:00
Person search,2022-11-08T12:00:00+00:00,51.502336,-0.158449,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-08 12:00:00+00:00
Person search,2022-11-08T12:03:00+00:00,51.515121,-0.072683,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,2022-11-08 12:03:00+00:00
Person search,2022-11-08T12:08:00+00:00,51.515121,-0.072683,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-08 12:08:00+00:00
Person search,2022-11-08T12:15:00+00:00,51.450954,-0.043593,Female,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,2022-11-08 12:15:00+00:00
Person search,2022-11-08T12:15:00+00:00,51.543113,0.002094,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,2022-11-08 12:15:00+00:00
Person search,2022-11-08T12:17:00+00:00,51.599585,-0.251059,Female,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-08 12:17:00+00:00
Person search,2022-11-08T12:18:00+00:00,51.461131,-0.185488,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,2022-11-08 12:18:00+00:00
Person search,2022-11-08T12:20:00+00:00,51.52469,-0.129408,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-08 12:20:00+00:00
Person search,2022-11-08T12:30:00+00:00,51.319979,-0.156434,Female,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-08 12:30:00+00:00
Person search,2022-11-08T12:36:00+00:00,51.514365,-0.143408,Female,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,2022-11-08 12:36:00+00:00
Person and Vehicle search,2022-11-08T12:37:00+00:00,51.484909,-0.139693,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-08 12:37:00+00:00
Person and Vehicle search,2022-11-08T12:40:00+00:00,51.388682,-0.105625,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-08 12:40:00+00:00
Person search,2022-11-08T12:40:00+00:00,51.490461,0.062261,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-08 12:40:00+00:00
Person search,2022-11-08T12:48:00+00:00,51.450287,-0.409064,Female,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-08 12:48:00+00:00
Person search,2022-11-08T12:50:00+00:00,51.516001,-0.331283,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-08 12:50:00+00:00
Person search,2022-11-08T12:53:00+00:00,51.472477,-0.125871,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-08 12:53:00+00:00
Person search,2022-11-08T12:57:00+00:00,51.52473,-0.127951,Female,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,2022-11-08 12:57:00+00:00
Person search,2022-11-08T13:00:00+00:00,51.52473,-0.127951,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,2022-11-08 13:00:00+00:00
Person search,2022-11-08T13:10:00+00:00,51.400999,0.017404,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,,2022-11-08 13:10:00+00:00
Person search,2022-11-08T13:12:00+00:00,51.448456,-0.428642,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-08 13:12:00+00:00
Person search,2022-11-08T13:20:00+00:00,51.373464,-0.0994,Male,18-24,Firearms Act 1968 (section 47),Firearms,Arrest,,,2022-11-08 13:20:00+00:00
