Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person search,2022-06-02T00:30:54+00:00,51.51868,-0.085173,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-06-02 00:30:54+00:00
Person and Vehicle search,2022-06-02T02:17:48+00:00,51.523053,-0.108631,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2022-06-02 02:17:48+00:00
Person search,2022-06-02T20:29:24+00:00,51.511956,-0.079287,Female,25-34,Police and Criminal Evidence Act 1984 (section 1),Controlled drugs,A no further action disposal,False,False,2022-06-02 20:29:24+00:00
Person search,2022-06-02T20:57:00+00:00,51.520474,-0.075556,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,True,False,2022-06-02 20:57:00+00:00
Person search,2022-06-02T23:33:55+00:00,51.520474,-0.075556,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2022-06-02 23:33:55+00:00
Person search,2022-06-02T23:41:47+00:00,51.520474,-0.075556,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,True,False,2022-06-02 23:41:47+00:00
Person search,2022-06-03T01:17:28+00:00,51.518098,-0.116966,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-06-03 01:17:28+00:00
Person search,2022-06-03T04:21:50+00:00,51.515033,-0.07825,Female,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False,2022-06-03 04:21:50+00:00
Person search,2022-06-03T05:04:25+00:00,51.512526,-0.098777,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-06-03 05:04:25+00:00
Person search,2022-06-04T05:18:33+00:00,51.513683,-0.111974,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-06-04 05:18:33+00:00
Person search,2022-06-04T20:05:52+00:00,51.515331,-0.089364,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-06-04 20:05:52+00:00
Person search,2022-06-04T22:36:34+00:00,51.517244,-0.080376,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,False,2022-06-04 22:36:34+00:00
Person and Vehicle search,2022-06-05T03:53:53+00:00,51.519703,-0.101649,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2022-06-05 03:53:53+00:00
Person and Vehicle search,2022-06-05T05:16:57+00:00,51.51265,-0.101452,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2022-06-05 05:16:57+00:00
Person search,2022-06-05T13:02:59+00:00,51.51265,-0.101452,Female,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2022-06-05 13:02:59+00:00
Person and Vehicle search,2022-06-05T23:49:28+00:00,51.516966,-0.1059,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2022-06-05 23:49:28+00:00
Person search,2022-06-07T00:05:59+00:00,51.520985,-0.078749,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2022-06-07 00:05:59+00:00
Person search,2022-06-07T08:37:56+00:00,51.517431,-0.082458,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2022-06-07 08:37:56+00:00
Person and Vehicle search,2022-06-07T08:40:22+00:00,51.515196,-0.071772,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2022-06-07 08:40:22+00:00
Person and Vehicle search,2022-06-07T08:44:07+00:00,51.516814,-0.08162,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2022-06-07 08:44:07+00:00
Person search,2022-06-07T10:38:44+00:00,51.517431,-0.082458,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,True,False,2022-06-07 10:38:44+00:00
Person search,2022-06-07T12:07:17+00:00,51.510014,-0.081516,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2022-06-07 12:07:17+00:00
Person and Vehicle search,2022-06-07T21:27:14+00:00,51.52181,-0.097929,Male,,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,False,False,2022-06-07 21:27:14+00:00
Person and Vehicle search,2022-06-08T14:59:43+00:00,51.520985,-0.078749,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2022-06-08 14:59:43+00:00
Person search,2022-06-08T19:37:51+00:00,51.512504,-0.083645,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2022-06-08 19:37:51+00:00
Person search,2022-06-08T21:52:52+00:00,51.508066,-0.08778,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2022-06-08 21:52:52+00:00
Person and Vehicle search,2022-06-08T23:09:57+00:00,51.525655,-0.090517,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2022-06-08 23:09:57+00:00
Person search,2022-06-08T23:52:18+00:00,51.508066,-0.08778,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,False,2022-06-08 23:52:18+00:00
Person and Vehicle search,2022-06-09T03:21:58+00:00,51.517431,-0.082458,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-06-09 03:21:58+00:00
Person search,2022-06-09T03:31:20+00:00,51.517431,-0.082458,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-06-09 03:31:20+00:00
Person search,2022-06-09T03:32:36+00:00,51.517431,-0.082458,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-06-09 03:32:36+00:00
Person search,2022-06-09T18:18:39+00:00,51.512462,-0.076095,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,True,False,2022-06-09 18:18:39+00:00
Person search,2022-06-10T13:30:03+00:00,51.516814,-0.08162,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2022-06-10 13:30:03+00:00
Person search,2022-06-10T17:51:43+00:00,51.522233,-0.107382,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2022-06-10 17:51:43+00:00
Person search,2022-06-10T21:38:14+00:00,51.517244,-0.080376,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2022-06-10 21:38:14+00:00
Person search,2022-06-11T02:26:02+00:00,51.51322,-0.095015,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,False,2022-06-11 02:26:02+00:00
Person search,2022-06-11T13:13:51+00:00,51.514088,-0.077655,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2022-06-11 13:13:51+00:00
Person search,2022-06-11T15:28:29+00:00,51.506255,-0.074901,Female,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-06-11 15:28:29+00:00
Person and Vehicle search,2022-06-11T21:25:20+00:00,51.515728,-0.078393,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,True,2022-06-11 21:25:20+00:00
Person search,2022-06-11T23:40:25+00:00,51.519812,-0.093933,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2022-06-11 23:40:25+00:00
Person search,2022-06-12T03:03:54+00:00,51.517032,-0.089451,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2022-06-12 03:03:54+00:00
Person search,2022-06-12T05:28:06+00:00,51.515142,-0.097645,Male,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2022-06-12 05:28:06+00:00
Person search,2022-06-12T06:43:22+00:00,51.51265,-0.101452,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2022-06-12 06:43:22+00:00
