Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person search,2021-03-01T03:11:45+00:00,51.525655,-0.090517,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2021-03-01 03:11:45+00:00
Person search,2021-03-01T04:23:20+00:00,51.516814,-0.08162,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2021-03-01 04:23:20+00:00
Person search,2021-03-01T04:40:31+00:00,51.525655,-0.090517,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2021-03-01 04:40:31+00:00
Person search,2021-03-01T06:51:16+00:00,51.523382,-0.09116,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2021-03-01 06:51:16+00:00
Person search,2021-03-01T08:19:05+00:00,51.525655,-0.090517,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2021-03-01 08:19:05+00:00
Person search,2021-03-02T01:52:58+00:00,51.515033,-0.07825,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Community resolution,True,False,2021-03-02 01:52:58+00:00
Person search,2021-03-02T01:55:50+00:00,51.506255,-0.074901,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2021-03-02 01:55:50+00:00
Person search,2021-03-02T02:57:35+00:00,51.512882,-0.084768,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False,2021-03-02 02:57:35+00:00
Person search,2021-03-02T03:31:07+00:00,51.517032,-0.089451,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2021-03-02 03:31:07+00:00
Person and Vehicle search,2021-03-02T09:03:39+00:00,51.513627,-0.076435,Female,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,True,2021-03-02 09:03:39+00:00
Person search,2021-03-03T02:25:05+00:00,51.513869,-0.105134,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2021-03-03 02:25:05+00:00
Person and Vehicle search,2021-03-03T03:59:19+00:00,51.517032,-0.089451,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2021-03-03 03:59:19+00:00
Person search,2021-03-03T03:59:49+00:00,51.517678,-0.107672,Female,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,True,False,2021-03-03 03:59:49+00:00
Person search,2021-03-03T04:27:42+00:00,51.515037,-0.102794,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2021-03-03 04:27:42+00:00
Person search,2021-03-03T04:33:45+00:00,51.517431,-0.082458,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2021-03-03 04:33:45+00:00
Person search,2021-03-04T04:28:30+00:00,51.51265,-0.101452,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2021-03-04 04:28:30+00:00
Person and Vehicle search,2021-03-04T04:31:37+00:00,51.51265,-0.101452,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2021-03-04 04:31:37+00:00
Person search,2021-03-04T05:00:26+00:00,51.517576,-0.079786,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2021-03-04 05:00:26+00:00
Person search,2021-03-04T06:58:04+00:00,51.512462,-0.076095,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,True,False,2021-03-04 06:58:04+00:00
Person and Vehicle search,2021-03-04T06:58:24+00:00,51.512462,-0.076095,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2021-03-04 06:58:24+00:00
Person search,2021-03-04T07:06:42+00:00,51.512462,-0.076095,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Caution (simple or conditional),True,False,2021-03-04 07:06:42+00:00
Person and Vehicle search,2021-03-04T07:59:31+00:00,51.513051,-0.104001,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2021-03-04 07:59:31+00:00
