Epoch,Training Loss,Validation Loss
1,1.0245236158370972,1.062390685081482
2,1.0122836828231812,1.0511772632598877
3,1.0025845766067505,1.0407617092132568
4,0.9929889440536499,1.0273951292037964
5,0.9821714758872986,1.0134830474853516
6,0.9699598550796509,0.9949297904968262
7,0.9528263807296753,0.9687475562095642
8,0.9300573468208313,0.9335247278213501
9,0.8957168459892273,0.8893589377403259
10,0.8581801056861877,0.8328952789306641
11,0.8054636120796204,0.755084216594696
12,0.7387368083000183,0.6637710928916931
13,0.655044674873352,0.5621448755264282
14,0.5672056078910828,0.45449668169021606
15,0.4615781605243683,0.3431254029273987
16,0.365509569644928,0.23714745044708252
17,0.2730812728404999,0.1545790731906891
18,0.20030640065670013,0.10589984059333801
19,0.1548851728439331,0.09625912457704544
20,0.14458058774471283,0.09838798642158508
21,0.14805899560451508,0.09505786001682281
22,0.14574089646339417,0.07778238505125046
23,0.12346332520246506,0.06156878173351288
24,0.10623765736818314,0.0578521192073822
25,0.10734478384256363,0.05458317697048187
26,0.10688194632530212,0.031956084072589874
27,0.08828939497470856,0.011845175176858902
28,0.062112774699926376,0.018977314233779907
29,0.05805644020438194,0.02912328392267227
30,0.0660930722951889,0.02082991972565651
31,0.058405742049217224,0.007741041947156191
32,0.05193725973367691,0.009393015876412392
33,0.050619836896657944,0.00982305221259594
34,0.051203928887844086,0.003957446664571762
35,0.04372810944914818,0.0015319790691137314
36,0.040538739413022995,0.00755614647641778
37,0.043639034032821655,0.007638290524482727
38,0.04154569283127785,0.003026403021067381
39,0.03793105110526085,0.0036862732376903296
40,0.03478628024458885,0.008281148038804531
41,0.03654811531305313,0.00879219826310873
42,0.035287756472826004,0.0034413589164614677
43,0.033518869429826736,0.002679668366909027
44,0.02713669463992119,0.005399999674409628
45,0.03423727676272392,0.004467379301786423
46,0.0313735269010067,0.002500740811228752
47,0.03520558774471283,0.005371034611016512
48,0.031291618943214417,0.006357851903885603
49,0.030769776552915573,0.0036133206449449062
50,0.025063473731279373,0.0017226653872057796
51,0.029886163771152496,0.0030444124713540077
52,0.02752039209008217,0.0031674117781221867
53,0.02658820152282715,0.0013582727406173944
54,0.02408200316131115,0.0031133515294641256
55,0.021422017365694046,0.006992403417825699
56,0.024942539632320404,0.005993640515953302
57,0.025222375988960266,0.0018654678715392947
58,0.023043589666485786,0.0017629886278882623
59,0.02234356477856636,0.0046300156973302364
60,0.02528611570596695,0.004633891861885786
61,0.026199540123343468,0.002746802754700184
62,0.02570488303899765,0.002734257373958826
63,0.021721960976719856,0.0037830881774425507
64,0.021317094564437866,0.0027602026239037514
65,0.024201886728405952,0.0008817304042167962
66,0.02251962572336197,0.001949180499650538
67,0.02263498492538929,0.003317729104310274
68,0.021935835480690002,0.0014514366630464792
69,0.017990179359912872,0.0004893547156825662
70,0.01814388856291771,0.001567053492181003
71,0.020565416663885117,0.0024568522348999977
72,0.02732621692121029,0.0008160106372088194
73,0.018815966323018074,0.0015605593798682094
74,0.019419342279434204,0.0014261234318837523
75,0.01933080330491066,0.0006956771248951554
76,0.021165382117033005,0.00020447917631827295
77,0.017308834940195084,0.00048807336133904755
78,0.019603971391916275,0.0008226546342484653
79,0.01770375855267048,0.0008549938211217523
80,0.01567206345498562,0.00034609323483891785
81,0.01754223369061947,0.00044730849913321435
82,0.023881468921899796,0.0007401630282402039
83,0.0166311152279377,0.0006978489691391587
84,0.01760590635240078,0.0005957969697192311
85,0.019829899072647095,0.0024547779466956854
86,0.018536701798439026,0.004694198723882437
87,0.02080119214951992,0.01686950959265232
88,0.030708039179444313,0.020990312099456787
89,0.038595568388700485,0.009582776576280594
90,0.02561844512820244,0.0014884970150887966
91,0.017386311665177345,0.012003101408481598
92,0.026200642809271812,0.0026261727325618267
93,0.016301419585943222,0.005997187923640013
94,0.020292140543460846,0.008371742442250252
95,0.026980074122548103,0.00020733295241370797
96,0.014887320809066296,0.010475977323949337
97,0.02582266554236412,0.001241054735146463
98,0.017456376925110817,0.002636838937178254
99,0.019862083718180656,0.00013139686780050397
100,0.015520451590418816,0.0029384931549429893
101,0.01650778204202652,0.001964143244549632
102,0.016837352886795998,0.00013451310223899782
103,0.015964539721608162,0.002112113870680332
104,0.01724405586719513,0.0004509005229920149
105,0.01593703217804432,0.0007181302062235773
106,0.013473150320351124,0.002080757636576891
107,0.017370454967021942,0.00014234294940251857
108,0.014634615741670132,0.0008701340411789715
109,0.01631380245089531,0.0006730084423907101
110,0.01592261902987957,0.0003789566981140524
111,0.013265043497085571,0.0012959894957020879
112,0.014255407266318798,0.00043512467527762055
113,0.013367057777941227,0.0004272944061085582
114,0.01671896129846573,0.0007636045920662582
115,0.01307671144604683,0.00018493118113838136
116,0.013933521695435047,0.0010040176566690207
117,0.014709618873894215,0.00048526658792980015
118,0.014266803860664368,0.00033532126690261066
119,0.014856272377073765,0.0006738001247867942
120,0.015279318206012249,0.00028974731685593724
121,0.0154928183183074,0.0004551971214823425
122,0.01500629261136055,0.00042246447992511094
123,0.014546150341629982,0.0002160731382900849
124,0.015689807012677193,0.00022576919582206756
125,0.015265426598489285,0.00022599572548642755
126,0.013513277284801006,0.0001686776668066159
127,0.013499188236892223,0.00021886726608499885
128,0.012627513147890568,0.00025469347019679844
129,0.01483150664716959,0.0001725711190374568
130,0.014878839254379272,0.00014734758588019758
131,0.013971679843962193,0.0001650790509302169
132,0.012494903057813644,0.00012978955055586994
133,0.013543851673603058,0.00015378357784356922
134,0.013703088276088238,0.0001966293202713132
135,0.015110231935977936,0.00019981333753094077
136,0.012998747639358044,0.00019557813357096165
137,0.013990893959999084,0.00018993474077433348
138,0.013790071941912174,0.0001942602393683046
139,0.01329798623919487,0.0001739898871164769
140,0.013635302893817425,0.00019593819160945714
141,0.013366778381168842,0.0002127219340763986
142,0.014208982698619366,0.00014521296543534845
143,0.013034078292548656,0.00012018978304695338
144,0.0131635507568717,0.00011597857519518584
145,0.012152228504419327,0.0001505979453213513
146,0.011104539968073368,0.00015427997277583927
147,0.014194590970873833,0.00014414565521292388
148,0.01272085215896368,0.00015316175995394588
149,0.01087078545242548,0.00015647038526367396
150,0.011400989256799221,0.00015937568969093263
