Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category
,2011-09,City of London Police,City of London Police,-0.092296,51.511386,On or near College Hill,E01032739,City of London 001F,Burglary,
,2011-09,City of London Police,City of London Police,-0.078488,51.517923,On or near Middlesex Street,E01032739,City of London 001F,Burglary,
,2011-09,City of London Police,City of London Police,-0.082965,51.516351,On or near Wormwood Street,E01032739,City of London 001F,Burglary,
,2011-09,City of London Police,City of London Police,-0.092268,51.514461,On or near King Street,E01032739,City of London 001F,Burglary,
,2011-09,City of London Police,City of London Police,-0.08776,51.517149,On or near London Wall,E01032739,City of London 001F,Burglary,
,2011-09,City of London Police,City of London Police,-0.099763,51.513414,On or near St. Paul'S Churchyard,E01032739,City of London 001F,Burglary,
,2011-09,City of London Police,City of London Police,-0.087787,51.510647,On or near Martin Lane,E01032739,City of London 001F,Burglary,
,2011-09,City of London Police,City of London Police,-0.101959,51.513297,On or near Carter Lane,E01032739,City of London 001F,Burglary,
,2011-09,City of London Police,City of London Police,-0.093493,51.513447,On or near Bow Lane,E01032739,City of London 001F,Burglary,
,2011-09,City of London Police,City of London Police,-0.086519,51.51408,On or near Threadneedle Street,E01032739,City of London 001F,Burglary,
,2011-09,City of London Police,City of London Police,-0.101575,51.513857,On or near Ludgate Hill,E01032739,City of London 001F,Burglary,
,2011-09,City of London Police,City of London Police,-0.111181,51.516476,On or near Cursitor Street,E01032740,City of London 001G,Burglary,
,2011-09,City of London Police,City of London Police,-0.102286,51.515136,On or near Old Bailey,E01032740,City of London 001G,Burglary,
,2011-09,City of London Police,City of London Police,-0.108018,51.511749,On or near Temple Avenue,E01032740,City of London 001G,Burglary,
,2011-09,City of London Police,City of London Police,-0.0985,51.519526,On or near Middle Street,E01032740,City of London 001G,Burglary,
,2011-09,City of London Police,City of London Police,-0.108231,51.513928,On or near Pleydell Street,E01032740,City of London 001G,Burglary,
,2011-09,City of London Police,City of London Police,-0.073287,51.513099,On or near Mansell Street,E01032767,Tower Hamlets 021F,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.141561,51.589642,On or near Kingston Hill Avenue,E01000027,Barking and Dagenham 001A,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.130717,51.586503,On or near Danbury Close,E01000028,Barking and Dagenham 001B,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.126964,51.586508,On or near Rowan Way,E01000028,Barking and Dagenham 001B,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.133262,51.581061,On or near Eastern Avenue,E01000029,Barking and Dagenham 001C,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.131156,51.582323,On or near Lake Road,E01000029,Barking and Dagenham 001C,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.134456,51.580347,On or near Havering Gardens,E01000029,Barking and Dagenham 001C,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.130108,51.581523,On or near Eastern Avenue,E01000029,Barking and Dagenham 001C,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.135871,51.584359,On or near Rose Lane,E01000030,Barking and Dagenham 001D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.14008,51.576567,On or near Cavendish Gardens,E01000031,Barking and Dagenham 002A,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.141167,51.5742,On or near Whalebone Grove,E01000031,Barking and Dagenham 002A,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.138481,51.577846,On or near Pemberton Gardens,E01000031,Barking and Dagenham 002A,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.138536,51.572566,On or near Tenby Road,E01000032,Barking and Dagenham 002B,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.135053,51.573996,On or near Alexandra Road,E01000032,Barking and Dagenham 002B,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.146919,51.575291,On or near Sylvan Avenue,E01000110,Barking and Dagenham 002C,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.148365,51.572288,On or near Coombewood Drive,E01000110,Barking and Dagenham 002C,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.145473,51.568186,On or near Limbourne Avenue,E01000111,Barking and Dagenham 002D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.148467,51.56832,On or near Rosslyn Avenue,E01000111,Barking and Dagenham 002D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.13678,51.570215,On or near St Chad'S Gardens,E01000112,Barking and Dagenham 002E,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.131051,51.569897,On or near Herbert Gardens,E01000113,Barking and Dagenham 002F,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.13592,51.571247,On or near St Chad'S Road,E01000113,Barking and Dagenham 002F,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.137536,51.569401,On or near Junction Road East,E01000113,Barking and Dagenham 002F,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.168487,51.555407,On or near Ely Gardens,E01000034,Barking and Dagenham 003A,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.178221,51.560172,On or near Jasmine Road,E01000034,Barking and Dagenham 003A,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.17842,51.562525,On or near Lincoln Avenue,E01000037,Barking and Dagenham 003B,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.169272,51.562802,On or near Legon Avenue,E01000038,Barking and Dagenham 003C,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.178904,51.557849,On or near Valentines Way,E01000039,Barking and Dagenham 003D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.139493,51.55852,On or near Grafton Road,E01000100,Barking and Dagenham 004B,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.146341,51.558116,On or near Stone Close,E01000101,Barking and Dagenham 004C,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.145609,51.564029,On or near Rosemary Gardens,E01000109,Barking and Dagenham 004D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.138925,51.562091,On or near Grafton Gardens,E01000109,Barking and Dagenham 004D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.148175,51.563064,On or near James Avenue,E01000114,Barking and Dagenham 004E,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.148159,51.561797,On or near The Broadway,E01000114,Barking and Dagenham 004E,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.148502,51.562654,On or near Emerald Gardens,E01000114,Barking and Dagenham 004E,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.159775,51.555441,On or near Rainham Road North,E01000033,Barking and Dagenham 006A,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.152078,51.56016,On or near Bradwell Avenue,E01000061,Barking and Dagenham 006C,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.153124,51.552983,On or near Glencoe Drive,E01000062,Barking and Dagenham 006D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.15636,51.551556,On or near Kingsley Close,E01000064,Barking and Dagenham 006E,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.140795,51.549386,On or near Westfield Road,E01000081,Barking and Dagenham 007D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.13619,51.553005,On or near Aidan Close,E01000082,Barking and Dagenham 007E,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.141351,51.554169,On or near Windmill Road,E01000082,Barking and Dagenham 007E,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.127684,51.555587,On or near Lindisfarne Road,E01000083,Barking and Dagenham 007F,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.136552,51.555804,On or near Charlecote Road,E01000102,Barking and Dagenham 007G,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.127121,51.557738,On or near Bennett'S Castle Lane,E01000102,Barking and Dagenham 007G,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.116779,51.554669,On or near Vicar'S Walk,E01000021,Barking and Dagenham 008A,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.114782,51.553599,On or near Butler Road,E01000021,Barking and Dagenham 008A,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.123731,51.554328,On or near Kilmarnock Gardens,E01000022,Barking and Dagenham 008B,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.11899,51.554126,On or near Lichfield Road,E01000022,Barking and Dagenham 008B,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.112998,51.551842,On or near Longbridge Road,E01000023,Barking and Dagenham 008C,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.119851,51.549695,On or near Highgrove Road,E01000024,Barking and Dagenham 008D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.117492,51.552013,On or near Campden Way,E01000024,Barking and Dagenham 008D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.117864,51.548526,On or near Fitzstephen Road,E01000025,Barking and Dagenham 008E,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.152095,51.545232,On or near Rogers Gardens,E01000015,Barking and Dagenham 009A,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.157273,51.543725,On or near Reede Way,E01000015,Barking and Dagenham 009A,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.153171,51.547856,On or near Alibon Gardens,E01000018,Barking and Dagenham 009D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.162558,51.551155,On or near Delvers Mead,E01000035,Barking and Dagenham 010A,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.16548,51.552243,On or near Eastbrook Avenue,E01000035,Barking and Dagenham 010A,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.163607,51.544993,On or near Foxlands Road,E01000036,Barking and Dagenham 010B,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.164125,51.54618,On or near Durham Road,E01000036,Barking and Dagenham 010B,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.174599,51.542002,On or near Auriel Avenue,E01000107,Barking and Dagenham 010C,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.106232,51.544329,On or near Westrow Drive,E01000066,Barking and Dagenham 011A,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.106305,51.549651,On or near Lovelace Gardens,E01000066,Barking and Dagenham 011A,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.097799,51.545982,On or near Brockdish Avenue,E01000070,Barking and Dagenham 011D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.093272,51.544435,On or near Ventnor Gardens,E01000070,Barking and Dagenham 011D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.102627,51.539636,On or near Oakley Avenue,E01000071,Barking and Dagenham 011E,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.100512,51.540367,On or near Mulberry Court,E01000071,Barking and Dagenham 011E,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.093614,51.538386,On or near Larks Grove,E01000071,Barking and Dagenham 011E,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.119127,51.54746,On or near Ilchester Road,E01000074,Barking and Dagenham 012C,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.12148,51.544701,On or near Porters Avenue,E01000074,Barking and Dagenham 012C,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.126417,51.539243,On or near Stamford Road,E01000075,Barking and Dagenham 012D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.125593,51.543827,On or near Wykeham Avenue,E01000075,Barking and Dagenham 012D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.120381,51.541853,On or near Cannington Road,E01000076,Barking and Dagenham 012E,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.152443,51.545882,On or near Berry Close,E01000013,Barking and Dagenham 013A,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.141276,51.541806,On or near Ivyhouse Road,E01000014,Barking and Dagenham 013B,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.139388,51.53568,On or near Dagenham Avenue,E01000059,Barking and Dagenham 013C,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.144155,51.534343,On or near Rowdowns Road,E01000059,Barking and Dagenham 013C,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.144213,51.533739,On or near Downing Road,E01000059,Barking and Dagenham 013C,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.147957,51.541288,On or near Heathway,E01000084,Barking and Dagenham 013D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.145962,51.539652,On or near Lloyd Road,E01000084,Barking and Dagenham 013D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.15079,51.540202,On or near Church Elm Lane,E01000085,Barking and Dagenham 013E,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.148817,51.536587,On or near Morgan Close,E01000085,Barking and Dagenham 013E,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.151355,51.535362,On or near Morland Road,E01000085,Barking and Dagenham 013E,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.16679,51.539431,On or near Cadiz Road,E01000104,Barking and Dagenham 014B,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.153707,51.541812,On or near Roberts Close,E01000105,Barking and Dagenham 014C,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.157906,51.542148,On or near Coopers Close,E01000105,Barking and Dagenham 014C,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.077983,51.538394,On or near James Street,E01000010,Barking and Dagenham 015C,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.070523,51.542428,On or near Gurney Close,E01000012,Barking and Dagenham 015D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.073145,51.543641,On or near Uphall Road,E01000012,Barking and Dagenham 015D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.088066,51.538152,On or near Greenslade Road,E01000006,Barking and Dagenham 016A,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.086725,51.539417,On or near Rosslyn Road,E01000009,Barking and Dagenham 016B,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.078076,51.543932,On or near Ilford Lane,E01000011,Barking and Dagenham 016C,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.088919,51.536635,On or near Suffolk Road,E01000044,Barking and Dagenham 016D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.089018,51.543818,On or near Longbridge Road,E01000068,Barking and Dagenham 016E,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.117279,51.538096,On or near Woodward Road,E01000041,Barking and Dagenham 017A,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.115538,51.538487,On or near Carrow Road,E01000041,Barking and Dagenham 017A,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.103629,51.536363,On or near Meadow Close,E01000042,Barking and Dagenham 017B,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.115847,51.534273,On or near Goresbrook Road,E01000045,Barking and Dagenham 017C,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.106079,51.532569,On or near Alfred'S Way (East Ham And Barking By-Pass),E01000045,Barking and Dagenham 017C,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.134639,51.534975,On or near Elstow Road,E01000056,Barking and Dagenham 018C,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.132953,51.539925,On or near Tallow Close,E01000058,Barking and Dagenham 018D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.119596,51.526813,On or near Blessing Way,E01000095,Barking and Dagenham 018E,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.132035,51.531075,On or near Scrattons Terrace,E01000095,Barking and Dagenham 018E,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.147704,51.531616,On or near Heathway,E01000095,Barking and Dagenham 018E,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.127105,51.532972,On or near Gale Street,E01000095,Barking and Dagenham 018E,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.09493,51.536896,On or near John Burns Drive,E01000040,Barking and Dagenham 019A,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.08459,51.532467,On or near St Marys,E01000050,Barking and Dagenham 019C,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.08428,51.535144,On or near Westbury Road,E01000050,Barking and Dagenham 019C,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.090045,51.534456,On or near Eldred Road,E01000052,Barking and Dagenham 019D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.094542,51.532533,On or near Tom Mann Close,E01000052,Barking and Dagenham 019D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.098934,51.523623,On or near Creek Road,E01000092,Barking and Dagenham 019E,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.095566,51.526876,On or near Hockley Mews,E01000092,Barking and Dagenham 019E,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.099122,51.529591,On or near Maud Gardens,E01000092,Barking and Dagenham 019E,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.104196,51.516757,On or near Atcost Road,E01000092,Barking and Dagenham 019E,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.156775,51.531045,On or near Crosby Road,E01000089,Barking and Dagenham 020D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.160639,51.527395,On or near East Entrance,E01000090,Barking and Dagenham 020E,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.083009,51.530355,On or near Dovehouse Mead,E01000049,Barking and Dagenham 021C,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.085497,51.530545,On or near Wheelers Cross,E01000049,Barking and Dagenham 021C,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.085757,51.528975,On or near Alfred'S Way (East Ham And Barking By-Pass),E01000049,Barking and Dagenham 021C,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.077204,51.532688,On or near Tomlins Orchard,E01033587,Barking and Dagenham 021E,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.076499,51.533051,On or near Linsdell Road,E01033587,Barking and Dagenham 021E,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.106785,51.528815,On or near Endeavour Way,E01000091,Barking and Dagenham 022A,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.111295,51.529391,On or near Wivenhoe Road,E01000096,Barking and Dagenham 022D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.109181,51.528574,On or near Roxwell Road,E01000096,Barking and Dagenham 022D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.119538,51.556301,On or near School Way,E01000019,Barking and Dagenham 023A,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.126626,51.557027,On or near Lake Close,E01000020,Barking and Dagenham 023B,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.124584,51.553449,On or near Linkway,E01000020,Barking and Dagenham 023B,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.129222,51.565964,On or near Scottes Lane,E01000097,Barking and Dagenham 023C,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.131131,51.558654,On or near Bonham Road,E01000098,Barking and Dagenham 023D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.131949,51.564098,On or near Lymington Road,E01000099,Barking and Dagenham 023E,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.132921,51.559908,On or near Warrington Square,E01000099,Barking and Dagenham 023E,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.132428,51.561382,On or near Cories Close,E01000099,Barking and Dagenham 023E,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.121728,51.56306,On or near Greenside,E01032580,Barking and Dagenham 023F,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.122414,51.561375,On or near Donne Road,E01032580,Barking and Dagenham 023F,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,0.119364,51.560936,On or near Dunkeld Road,E01032580,Barking and Dagenham 023F,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,-0.213039,51.654036,On or near Queens Road,E01000248,Barnet 001A,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,-0.206239,51.653447,On or near Union Street,E01000248,Barnet 001A,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,-0.210845,51.65358,On or near Blenheim Road,E01000248,Barnet 001A,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,-0.200225,51.653813,On or near Tapster Street,E01000250,Barnet 001C,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,-0.207656,51.658207,On or near Puller Road,E01000254,Barnet 001D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,-0.203281,51.659138,On or near Hadley Grove,E01000254,Barnet 001D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,-0.208695,51.657504,On or near Sebright Road,E01000254,Barnet 001D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,-0.204677,51.649439,On or near Willow Drive,E01000292,Barnet 001E,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,-0.206882,51.652899,On or near Leecroft Road,E01000292,Barnet 001E,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,-0.19575,51.647819,On or near Elton Avenue,E01000293,Barnet 001F,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,-0.197796,51.648722,On or near Milton Avenue,E01000293,Barnet 001F,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,-0.167905,51.652621,On or near St James Close,E01000167,Barnet 002A,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,-0.188463,51.659109,On or near Hadley Common,E01000246,Barnet 002B,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,-0.17815,51.651279,On or near Bulwer Gardens,E01000251,Barnet 002D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,-0.183321,51.647771,On or near Station Road,E01000251,Barnet 002D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,-0.155896,51.655005,On or near Games Road,E01000166,Barnet 003A,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,-0.161476,51.651801,On or near Edgeworth Road,E01000166,Barnet 003A,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,-0.157862,51.652518,On or near Lockwood Close,E01000166,Barnet 003A,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,-0.157955,51.648428,On or near Eccleston Close,E01000168,Barnet 003B,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,-0.163987,51.647983,On or near Crescent Road,E01000169,Barnet 003C,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,-0.15155,51.645279,On or near Freston Gardens,E01000172,Barnet 003D,Burglary,
,2011-09,Metropolitan Police Service,Metropolitan Police Service,-0.149023,51.64273,On or near Vernon Crescent,E01000172,Barnet 003D,Burglary,
