Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person search,2021-04-08T13:45:00+00:00,51.511777,-0.234968,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 13:45:00+00:00
Person search,2021-04-08T13:45:00+00:00,51.489437,0.086084,Female,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 13:45:00+00:00
Person search,2021-04-08T13:47:00+00:00,51.493248,-0.033499,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 13:47:00+00:00
Person search,2021-04-08T13:50:00+00:00,51.512186,-0.263574,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,2021-04-08 13:50:00+00:00
Person search,2021-04-08T13:55:00+00:00,51.51992,-0.056696,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 13:55:00+00:00
Person search,2021-04-08T13:55:00+00:00,51.543856,-0.252619,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 13:55:00+00:00
Person search,2021-04-08T13:55:00+00:00,51.51992,-0.056696,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 13:55:00+00:00
Person search,2021-04-08T13:55:00+00:00,51.492971,-0.224674,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,2021-04-08 13:55:00+00:00
Person search,2021-04-08T13:55:00+00:00,51.50968,-0.263193,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,2021-04-08 13:55:00+00:00
Person search,2021-04-08T13:55:00+00:00,51.542281,-0.254381,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 13:55:00+00:00
Person and Vehicle search,2021-04-08T13:58:00+00:00,51.482348,-0.07405,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,2021-04-08 13:58:00+00:00
