Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person search,2022-07-01T09:30:47+00:00,51.517785,-0.079907,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False,2022-07-01 09:30:47+00:00
Person search,2022-07-01T14:22:46+00:00,51.517656,-0.077563,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2022-07-01 14:22:46+00:00
Person search,2022-07-01T19:45:54+00:00,51.511896,-0.09154,Male,,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,False,False,2022-07-01 19:45:54+00:00
Person search,2022-07-01T19:45:54+00:00,51.511896,-0.09154,Male,,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,False,False,2022-07-01 19:45:54+00:00
Person search,2022-07-01T20:28:30+00:00,51.515894,-0.075922,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-07-01 20:28:30+00:00
Person search,2022-07-01T21:10:55+00:00,51.517656,-0.077563,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-07-01 21:10:55+00:00
Person search,2022-07-01T21:15:10+00:00,51.515894,-0.075922,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2022-07-01 21:15:10+00:00
Person search,2022-07-01T21:19:03+00:00,51.515894,-0.075922,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2022-07-01 21:19:03+00:00
Person search,2022-07-02T04:26:05+00:00,51.515894,-0.075922,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-07-02 04:26:05+00:00
Person search,2022-07-02T18:29:00+00:00,51.515894,-0.075922,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-07-02 18:29:00+00:00
Person search,2022-07-03T00:08:08+00:00,51.515812,-0.077511,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-07-03 00:08:08+00:00
Person search,2022-07-03T10:23:58+00:00,51.517785,-0.079907,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,True,False,2022-07-03 10:23:58+00:00
Person search,2022-07-03T18:05:03+00:00,51.517785,-0.079907,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2022-07-03 18:05:03+00:00
Person search,2022-07-04T01:48:16+00:00,51.515387,-0.097245,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2022-07-04 01:48:16+00:00
Person search,2022-07-04T05:03:14+00:00,51.517461,-0.089808,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-07-04 05:03:14+00:00
Person search,2022-07-05T10:52:54+00:00,51.51908,-0.103679,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,True,False,2022-07-05 10:52:54+00:00
Person search,2022-07-06T15:54:03+00:00,51.514627,-0.072156,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False,2022-07-06 15:54:03+00:00
Person search,2022-07-06T16:00:11+00:00,51.513813,-0.073531,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-07-06 16:00:11+00:00
Person search,2022-07-06T16:47:19+00:00,51.513813,-0.073531,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False,2022-07-06 16:47:19+00:00
Person search,2022-07-06T18:08:07+00:00,51.5131,-0.072542,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,True,2022-07-06 18:08:07+00:00
Person search,2022-07-06T20:31:16+00:00,51.513941,-0.105131,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2022-07-06 20:31:16+00:00
Person search,2022-07-07T15:57:40+00:00,51.513874,-0.096501,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False,2022-07-07 15:57:40+00:00
Person and Vehicle search,2022-07-07T16:21:13+00:00,51.511965,-0.075453,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2022-07-07 16:21:13+00:00
Person and Vehicle search,2022-07-07T19:19:48+00:00,51.515894,-0.075922,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2022-07-07 19:19:48+00:00
Person and Vehicle search,2022-07-09T02:50:35+00:00,51.5131,-0.072542,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2022-07-09 02:50:35+00:00
Person search,2022-07-10T00:49:04+00:00,51.516212,-0.078849,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2022-07-10 00:49:04+00:00
Person and Vehicle search,2022-07-10T01:05:39+00:00,51.5131,-0.072542,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-07-10 01:05:39+00:00
Person search,2022-07-10T01:44:46+00:00,51.514267,-0.079838,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2022-07-10 01:44:46+00:00
Person and Vehicle search,2022-07-10T02:49:28+00:00,51.515383,-0.078783,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-07-10 02:49:28+00:00
Person search,2022-07-10T02:55:22+00:00,51.516212,-0.078849,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2022-07-10 02:55:22+00:00
Person and Vehicle search,2022-07-10T03:51:30+00:00,51.51477,-0.101292,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2022-07-10 03:51:30+00:00
Person and Vehicle search,2022-07-10T03:59:50+00:00,51.515383,-0.078783,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-07-10 03:59:50+00:00
Person search,2022-07-10T04:15:18+00:00,51.514267,-0.079838,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False,2022-07-10 04:15:18+00:00
Person search,2022-07-10T19:08:19+00:00,51.517846,-0.109164,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2022-07-10 19:08:19+00:00
Person and Vehicle search,2022-07-11T01:54:47+00:00,51.509797,-0.0836,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-07-11 01:54:47+00:00
Person search,2022-07-11T05:41:51+00:00,51.510877,-0.07707,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2022-07-11 05:41:51+00:00
Person search,2022-07-11T07:53:52+00:00,51.518692,-0.081512,Female,10-17,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2022-07-11 07:53:52+00:00
Person search,2022-07-11T14:05:12+00:00,51.514912,-0.07912,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2022-07-11 14:05:12+00:00
Person search,2022-07-11T14:05:12+00:00,51.514912,-0.07912,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2022-07-11 14:05:12+00:00
Person search,2022-07-11T14:33:07+00:00,51.514912,-0.07912,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2022-07-11 14:33:07+00:00
Person search,2022-07-11T16:33:24+00:00,51.514912,-0.07912,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,True,False,2022-07-11 16:33:24+00:00
Person search,2022-07-12T07:23:35+00:00,51.512024,-0.09446,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2022-07-12 07:23:35+00:00
Person search,2022-07-12T07:24:21+00:00,51.512024,-0.09446,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2022-07-12 07:24:21+00:00
Person search,2022-07-12T18:50:05+00:00,51.513736,-0.095224,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,False,2022-07-12 18:50:05+00:00
Person and Vehicle search,2022-07-12T19:16:34+00:00,51.511218,-0.073727,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-07-12 19:16:34+00:00
Person search,2022-07-12T19:23:59+00:00,51.511218,-0.073727,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-07-12 19:23:59+00:00
Person and Vehicle search,2022-07-13T02:26:03+00:00,51.503329,-0.091725,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,True,2022-07-13 02:26:03+00:00
Person and Vehicle search,2022-07-13T09:36:52+00:00,51.511965,-0.075453,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2022-07-13 09:36:52+00:00
Person search,2022-07-13T10:42:22+00:00,51.486588,0.102605,Male,,Firearms Act 1968 (section 47),Firearms,A no further action disposal,True,False,2022-07-13 10:42:22+00:00
Person search,2022-07-13T11:38:46+00:00,51.515894,-0.075922,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2022-07-13 11:38:46+00:00
Person search,2022-07-13T16:58:36+00:00,51.512105,-0.085089,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2022-07-13 16:58:36+00:00
