Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person search,2021-06-01T03:03:29+00:00,51.535996,-0.078347,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2021-06-01 03:03:29+00:00
Person search,2021-06-01T06:42:28+00:00,51.516814,-0.08162,Male,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2021-06-01 06:42:28+00:00
Person search,2021-06-03T01:02:10+00:00,51.514933,-0.074896,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2021-06-03 01:02:10+00:00
Person search,2021-06-03T01:02:19+00:00,51.511749,-0.108018,Female,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2021-06-03 01:02:19+00:00
Person search,2021-06-03T01:49:08+00:00,51.511749,-0.108018,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2021-06-03 01:49:08+00:00
Person search,2021-06-03T04:17:37+00:00,51.511386,-0.092296,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2021-06-03 04:17:37+00:00
Person search,2021-06-03T06:21:20+00:00,51.517231,-0.079613,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False,2021-06-03 06:21:20+00:00
Person search,2021-06-03T06:21:20+00:00,51.516814,-0.08162,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False,2021-06-03 06:21:20+00:00
Person and Vehicle search,2021-06-03T10:13:16+00:00,51.516233,-0.077392,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2021-06-03 10:13:16+00:00
Person and Vehicle search,2021-06-03T10:18:12+00:00,51.512462,-0.076095,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2021-06-03 10:18:12+00:00
Person and Vehicle search,2021-06-04T00:19:03+00:00,51.511014,-0.076113,Male,25-34,Firearms Act 1968 (section 47),Firearms,A no further action disposal,False,False,2021-06-04 00:19:03+00:00
Person search,2021-06-04T03:11:12+00:00,51.516966,-0.1059,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2021-06-04 03:11:12+00:00
Person search,2021-06-04T03:16:02+00:00,51.513865,-0.092625,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2021-06-04 03:16:02+00:00
Person search,2021-06-04T05:52:44+00:00,51.518262,-0.088203,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Community resolution,True,False,2021-06-04 05:52:44+00:00
Person and Vehicle search,2021-06-04T05:59:51+00:00,51.516814,-0.08162,Male,18-24,Firearms Act 1968 (section 47),Firearms,A no further action disposal,False,False,2021-06-04 05:59:51+00:00
Person search,2021-06-04T07:32:56+00:00,51.516814,-0.08162,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2021-06-04 07:32:56+00:00
Person and Vehicle search,2021-06-04T09:26:01+00:00,51.513377,-0.096363,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2021-06-04 09:26:01+00:00
Person and Vehicle search,2021-06-04T11:11:02+00:00,51.511053,-0.075722,Male,18-24,Firearms Act 1968 (section 47),Firearms,A no further action disposal,False,False,2021-06-04 11:11:02+00:00
Person and Vehicle search,2021-06-04T11:31:57+00:00,51.516233,-0.077392,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2021-06-04 11:31:57+00:00
Person search,2021-06-04T11:56:56+00:00,51.511014,-0.076113,Male,18-24,Firearms Act 1968 (section 47),Firearms,A no further action disposal,True,False,2021-06-04 11:56:56+00:00
Person search,2021-06-05T01:19:54+00:00,51.514513,-0.096561,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False,2021-06-05 01:19:54+00:00
Person search,2021-06-05T05:35:37+00:00,51.507808,-0.07913,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False,2021-06-05 05:35:37+00:00
Person and Vehicle search,2021-06-05T07:41:59+00:00,51.511749,-0.108018,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2021-06-05 07:41:59+00:00
Person search,2021-06-05T09:06:57+00:00,51.509414,-0.093791,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2021-06-05 09:06:57+00:00
