Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person and Vehicle search,2018-08-01T15:52:56+00:00,51.511794,-0.088042,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2018-08-01 15:52:56+00:00
Person and Vehicle search,2018-08-03T13:06:29+00:00,51.513171,-0.077694,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False,2018-08-03 13:06:29+00:00
Person and Vehicle search,2018-08-05T01:31:03+00:00,51.514276,-0.087549,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2018-08-05 01:31:03+00:00
Person and Vehicle search,2018-08-05T01:41:13+00:00,51.514276,-0.087549,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2018-08-05 01:41:13+00:00
Person search,2018-08-05T01:57:40+00:00,51.510806,-0.08154,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2018-08-05 01:57:40+00:00
Person search,2018-08-06T08:46:41+00:00,51.515033,-0.07825,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2018-08-06 08:46:41+00:00
Person search,2018-08-06T15:51:41+00:00,51.517032,-0.089451,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2018-08-06 15:51:41+00:00
Person and Vehicle search,2018-08-07T01:21:35+00:00,51.515075,-0.077513,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2018-08-07 01:21:35+00:00
Person and Vehicle search,2018-08-07T02:35:49+00:00,51.515075,-0.077513,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,True,2018-08-07 02:35:49+00:00
Person search,2018-08-07T03:58:03+00:00,51.516814,-0.08162,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,False,2018-08-07 03:58:03+00:00
