Team,Venue,Borough,Total_Burglaries,Unique_LSOAs,Most_Affected_LSOA,Most_Affected_LSOA_Name,Crimes_in_Most_Affected_LSOA,Avg_Distance_Most_Affected,Data_Months,Match_Months,No_Match_Months,Avg_Burglary_Match,Avg_Burglary_No_Match,Difference,Percentage_Change,Std_Match,Std_No_Match,Avg_Distance_Match,Avg_Distance_No_Match,Distance_Difference,Avg_LSOAs_Match,Avg_LSOAs_No_Match,LSOA_Difference,T_Statistic,P_Value_TTest,U_Statistic,P_Value_Mann_Whitney,Cohens_D,Effect_Size,Significant_TTest,Significant_Mann_Whitney,Correlation_Matches_Burglary,Correlation_Attendance_Burglary,Correlation_Goals_Burglary,Data_Period
Arsenal,Emirates Stadium,Islington,661064,5128,E01033595,Westminster 013E,1888,5.167592209617099,120,107,13,5640.822429906542,4422.7692307692305,1218.0531991373118,27.540509929012547,1046.6538940030634,658.7416228241734,11.69267911458678,11.39071175936063,0.30196735522614837,2841.158878504673,2439.6153846153848,401.54349388928813,4.089766899413352,7.922651902545225e-05,1144.0,0.00015506712862180803,1.2012284614791104,Large,True,True,0.19037009625316775,0.4473491201510455,0.24131844604910374,2013-03 to 2025-02
Chelsea,Stamford Bridge,Hammersmith and Fulham,650425,5039,E01033595,Westminster 013E,1888,4.941643723776971,120,108,12,5540.555555555556,4337.083333333333,1203.4722222222226,27.74842283920967,1017.054141983531,676.0773837275426,11.915605862152988,11.680519917430898,0.23508594472209055,2786.1574074074074,2394.8333333333335,391.3240740740739,3.9939823800158347,0.00011340212699978928,1080.5,0.00015743437116479172,1.2153301354515795,Large,True,True,0.18043300061109396,0.48013174692213556,0.19876235429300662,2013-03 to 2025-02
Tottenham,Wembley Stadium,Haringey,588021,4429,E01033595,Westminster 013E,1888,10.737459299746291,120,108,12,5014.12037037037,3874.6666666666665,1139.453703703704,29.4077865718437,869.9882985311756,374.4533793856498,13.702554996456515,13.675730608691303,0.026824387765211455,2480.8333333333335,2122.0,358.8333333333335,4.477623941022027,1.7535049283702547e-05,1115.0,4.4873636822622476e-05,1.3624975758460807,Large,True,True,0.21278188851484103,0.26215477023921124,0.11890221338509127,2013-03 to 2025-02
West Ham,London Stadium,Newham,626812,4825,E01033595,Westminster 013E,1888,9.0525831782773,120,107,13,5342.560747663551,4242.923076923077,1099.6376707404743,25.916983428743183,986.3688809913433,650.228736873733,12.061804379978554,11.805316410617682,0.25648796936087237,2674.5607476635514,2316.846153846154,357.7145938173976,3.9096957849860954,0.0001547528212476223,1129.0,0.000256033489606936,1.1483387606574553,Large,True,True,0.21308744546591996,0.2148751787554282,0.10635338416530113,2013-03 to 2025-02
