Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person search,2019-11-01T17:50:00+00:00,51.47803,-0.05276,Male,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2019-11-01 17:50:00+00:00
Person and Vehicle search,2019-11-01T17:54:00+00:00,51.414245,-0.122746,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,2019-11-01 17:54:00+00:00
Person search,2019-11-01T17:55:00+00:00,51.470465,0.109034,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 17:55:00+00:00
Person search,2019-11-01T17:55:00+00:00,51.546949,-0.055415,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,,,2019-11-01 17:55:00+00:00
Person and Vehicle search,2019-11-01T17:56:00+00:00,51.530361,-0.120179,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 17:56:00+00:00
Person search,2019-11-01T17:57:00+00:00,51.54408,-0.151082,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 17:57:00+00:00
Person search,2019-11-01T18:00:00+00:00,51.45138,0.048812,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,2019-11-01 18:00:00+00:00
Person search,2019-11-01T18:00:00+00:00,51.526676,-0.165757,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Fireworks,A no further action disposal,,,2019-11-01 18:00:00+00:00
Person search,2019-11-01T18:00:00+00:00,51.55867,0.251108,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2019-11-01 18:00:00+00:00
Person search,2019-11-01T18:00:00+00:00,51.526676,-0.165757,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Fireworks,A no further action disposal,,,2019-11-01 18:00:00+00:00
Person search,2019-11-01T18:00:00+00:00,51.55867,0.251108,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2019-11-01 18:00:00+00:00
Person search,2019-11-01T18:00:00+00:00,51.509609,-0.209992,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:00:00+00:00
Person search,2019-11-01T18:00:00+00:00,51.55867,0.251108,Female,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2019-11-01 18:00:00+00:00
Person search,2019-11-01T18:00:00+00:00,51.472488,-0.450581,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,,,2019-11-01 18:00:00+00:00
Person search,2019-11-01T18:00:00+00:00,51.551191,-0.259738,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:00:00+00:00
Person search,2019-11-01T18:00:00+00:00,51.570227,-0.023483,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:00:00+00:00
Person search,2019-11-01T18:00:00+00:00,51.45138,0.048812,Male,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,2019-11-01 18:00:00+00:00
Vehicle search,2019-11-01T18:00:00+00:00,51.428607,-0.03875,,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2019-11-01 18:00:00+00:00
Person search,2019-11-01T18:00:00+00:00,,,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,2019-11-01 18:00:00+00:00
Person search,2019-11-01T18:00:00+00:00,51.55867,0.251108,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2019-11-01 18:00:00+00:00
Person search,2019-11-01T18:00:00+00:00,51.553906,-0.255437,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2019-11-01 18:00:00+00:00
Person search,2019-11-01T18:00:00+00:00,51.491683,-0.087846,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2019-11-01 18:00:00+00:00
Person search,2019-11-01T18:01:00+00:00,51.539115,-0.195481,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2019-11-01 18:01:00+00:00
Vehicle search,2019-11-01T18:03:00+00:00,51.427972,-0.038965,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,,,2019-11-01 18:03:00+00:00
Person search,2019-11-01T18:05:00+00:00,51.416466,-0.294542,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:05:00+00:00
Person search,2019-11-01T18:06:00+00:00,51.582047,-0.033868,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:06:00+00:00
Person search,2019-11-01T18:10:00+00:00,51.548171,-0.104835,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,2019-11-01 18:10:00+00:00
Person search,2019-11-01T18:10:00+00:00,,,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:10:00+00:00
Person and Vehicle search,2019-11-01T18:10:00+00:00,51.511577,0.011995,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:10:00+00:00
Person and Vehicle search,2019-11-01T18:10:00+00:00,51.511577,0.011995,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:10:00+00:00
Person search,2019-11-01T18:12:00+00:00,51.498311,-0.071404,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,2019-11-01 18:12:00+00:00
Person search,2019-11-01T18:13:00+00:00,51.565287,0.11342,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,2019-11-01 18:13:00+00:00
Person search,2019-11-01T18:15:00+00:00,51.497762,-0.076311,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:15:00+00:00
Person search,2019-11-01T18:15:00+00:00,51.525252,-0.12741,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,2019-11-01 18:15:00+00:00
Person search,2019-11-01T18:15:00+00:00,51.53011,-0.482938,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:15:00+00:00
Person search,2019-11-01T18:20:00+00:00,51.519227,-0.167858,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,,2019-11-01 18:20:00+00:00
Person search,2019-11-01T18:20:00+00:00,51.499506,-0.115614,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:20:00+00:00
Person search,2019-11-01T18:20:00+00:00,51.557458,0.069835,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:20:00+00:00
Person and Vehicle search,2019-11-01T18:20:00+00:00,51.575338,0.178037,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2019-11-01 18:20:00+00:00
