Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person search,2017-09-01T01:03:00+00:00,,,Female,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,False,False,2017-09-01 01:03:00+00:00
Person search,2017-09-01T07:05:00+00:00,,,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,True,False,2017-09-01 07:05:00+00:00
Person search,2017-09-01T10:45:00+00:00,,,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,True,False,2017-09-01 10:45:00+00:00
Person and Vehicle search,2017-09-01T10:46:00+00:00,51.509532,-0.088843,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,True,False,2017-09-01 10:46:00+00:00
Person search,2017-09-01T11:10:00+00:00,,,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,False,2017-09-01 11:10:00+00:00
Person search,2017-09-03T01:50:00+00:00,,,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,,True,False,2017-09-03 01:50:00+00:00
Person search,2017-09-04T01:50:00+00:00,,,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,True,False,2017-09-04 01:50:00+00:00
Person search,2017-09-04T01:52:00+00:00,51.515472,-0.096348,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,False,2017-09-04 01:52:00+00:00
Person and Vehicle search,2017-09-04T04:30:00+00:00,,,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,False,2017-09-04 04:30:00+00:00
Person and Vehicle search,2017-09-04T04:30:00+00:00,,,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,False,2017-09-04 04:30:00+00:00
Person and Vehicle search,2017-09-04T04:30:00+00:00,,,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,False,2017-09-04 04:30:00+00:00
Person search,2017-09-04T04:36:00+00:00,51.51862,-0.094747,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,False,False,2017-09-04 04:36:00+00:00
Person search,2017-09-04T11:38:00+00:00,,,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Nothing found - no further action,False,False,2017-09-04 11:38:00+00:00
Person search,2017-09-05T00:18:00+00:00,,,Male,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,True,False,2017-09-05 00:18:00+00:00
Person search,2017-09-05T08:57:00+00:00,,,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender cautioned,False,False,2017-09-05 08:57:00+00:00
Person search,2017-09-06T01:46:00+00:00,,,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,False,False,2017-09-06 01:46:00+00:00
Person search,2017-09-06T05:00:00+00:00,,,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,False,False,2017-09-06 05:00:00+00:00
Person search,2017-09-06T05:37:00+00:00,51.470369,-0.113287,Female,25-34,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,False,False,2017-09-06 05:37:00+00:00
Person and Vehicle search,2017-09-06T06:37:00+00:00,,,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,True,False,2017-09-06 06:37:00+00:00
Person search,2017-09-06T11:19:00+00:00,,,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Nothing found - no further action,False,False,2017-09-06 11:19:00+00:00
Vehicle search,2017-09-07T01:49:00+00:00,,,Other,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,,2017-09-07 01:49:00+00:00
Person search,2017-09-07T07:20:00+00:00,,,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,False,2017-09-07 07:20:00+00:00
Person search,2017-09-07T10:40:00+00:00,,,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,False,2017-09-07 10:40:00+00:00
Person search,2017-09-07T10:44:00+00:00,51.513928,-0.108231,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,False,2017-09-07 10:44:00+00:00
Person search,2017-09-08T00:07:00+00:00,51.510806,-0.08154,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,False,2017-09-08 00:07:00+00:00
Person search,2017-09-08T02:58:00+00:00,,,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,False,False,2017-09-08 02:58:00+00:00
Person and Vehicle search,2017-09-08T03:08:00+00:00,51.514656,-0.088225,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,False,2017-09-08 03:08:00+00:00
Person and Vehicle search,2017-09-08T05:08:00+00:00,51.516934,-0.073543,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,False,False,2017-09-08 05:08:00+00:00
Person search,2017-09-08T07:20:00+00:00,,,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,False,False,2017-09-08 07:20:00+00:00
Person search,2017-09-08T11:38:00+00:00,,,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Article found - Detailed outcome unavailable,False,False,2017-09-08 11:38:00+00:00
Person search,2017-09-08T11:41:00+00:00,,,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Nothing found - no further action,False,False,2017-09-08 11:41:00+00:00
Person search,2017-09-08T11:50:00+00:00,51.512598,-0.084967,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,False,2017-09-08 11:50:00+00:00
Person search,2017-09-09T07:52:00+00:00,51.556348,-0.17244,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,False,2017-09-09 07:52:00+00:00
Person search,2017-09-11T01:57:00+00:00,51.516347,-0.104887,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,False,2017-09-11 01:57:00+00:00
Person search,2017-09-11T08:36:00+00:00,,,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,False,False,2017-09-11 08:36:00+00:00
Person search,2017-09-12T03:21:00+00:00,51.534162,-0.145962,Female,25-34,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Nothing found - no further action,False,False,2017-09-12 03:21:00+00:00
Person search,2017-09-12T03:21:00+00:00,51.534162,-0.145962,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Nothing found - no further action,False,False,2017-09-12 03:21:00+00:00
Person search,2017-09-12T08:32:00+00:00,,,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Nothing found - no further action,False,False,2017-09-12 08:32:00+00:00
Person search,2017-09-13T04:35:00+00:00,51.517231,-0.079613,Female,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,False,False,2017-09-13 04:35:00+00:00
Person search,2017-09-13T04:43:00+00:00,,,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Nothing found - no further action,False,False,2017-09-13 04:43:00+00:00
Person search,2017-09-13T06:20:00+00:00,51.534162,-0.145962,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,True,False,2017-09-13 06:20:00+00:00
Person search,2017-09-13T07:20:00+00:00,51.516391,-0.095892,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,False,2017-09-13 07:20:00+00:00
Person search,2017-09-13T09:55:00+00:00,51.517576,-0.079786,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,False,False,2017-09-13 09:55:00+00:00
Person search,2017-09-13T10:05:00+00:00,,,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Offender given penalty notice,False,False,2017-09-13 10:05:00+00:00
Person search,2017-09-14T01:10:00+00:00,51.517231,-0.079613,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,True,False,2017-09-14 01:10:00+00:00
Vehicle search,2017-09-15T02:42:00+00:00,,,Other,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,False,False,2017-09-15 02:42:00+00:00
Person and Vehicle search,2017-09-15T03:22:00+00:00,51.509876,-0.086278,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Local resolution,False,False,2017-09-15 03:22:00+00:00
Person and Vehicle search,2017-09-15T03:25:00+00:00,51.509876,-0.086278,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,False,False,2017-09-15 03:25:00+00:00
Person search,2017-09-15T07:01:00+00:00,,,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,False,2017-09-15 07:01:00+00:00
Person search,2017-09-15T09:49:00+00:00,51.494983,-0.121188,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Local resolution,False,False,2017-09-15 09:49:00+00:00
Person search,2017-09-15T10:42:00+00:00,,,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,False,False,2017-09-15 10:42:00+00:00
Person search,2017-09-15T10:53:00+00:00,51.494983,-0.121188,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,False,2017-09-15 10:53:00+00:00
Person search,2017-09-15T10:59:00+00:00,51.494983,-0.121188,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,False,2017-09-15 10:59:00+00:00
Person search,2017-09-16T03:42:00+00:00,51.518433,-0.078856,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,True,False,2017-09-16 03:42:00+00:00
Person search,2017-09-16T10:20:00+00:00,51.525453,-0.097993,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,False,2017-09-16 10:20:00+00:00
Person search,2017-09-16T11:01:00+00:00,,,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,False,False,2017-09-16 11:01:00+00:00
Person search,2017-09-16T11:11:00+00:00,51.494983,-0.121188,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,False,False,2017-09-16 11:11:00+00:00
Person search,2017-09-17T02:33:00+00:00,51.512108,-0.097973,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,False,2017-09-17 02:33:00+00:00
Person search,2017-09-17T02:42:00+00:00,51.512108,-0.097973,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,False,2017-09-17 02:42:00+00:00
Person search,2017-09-17T02:43:00+00:00,51.516814,-0.08162,Female,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,False,2017-09-17 02:43:00+00:00
