Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person search,2022-10-01T02:06:22+00:00,,,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-10-01 02:06:22+00:00
Person search,2022-10-01T04:06:23+00:00,,,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,True,False,2022-10-01 04:06:23+00:00
Person search,2022-10-01T17:47:31+00:00,51.517239,-0.106076,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False,2022-10-01 17:47:31+00:00
Person search,2022-10-02T17:46:11+00:00,51.50401,-0.115515,Male,,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,A no further action disposal,False,False,2022-10-02 17:46:11+00:00
Person and Vehicle search,2022-10-03T00:28:06+00:00,51.512549,-0.095764,Female,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False,2022-10-03 00:28:06+00:00
Person and Vehicle search,2022-10-03T00:37:15+00:00,51.513631,-0.086019,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2022-10-03 00:37:15+00:00
Person and Vehicle search,2022-10-03T01:19:21+00:00,51.512549,-0.095764,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-10-03 01:19:21+00:00
Person and Vehicle search,2022-10-03T02:52:31+00:00,51.513631,-0.086019,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2022-10-03 02:52:31+00:00
Person and Vehicle search,2022-10-03T02:53:39+00:00,51.513631,-0.086019,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2022-10-03 02:53:39+00:00
Person search,2022-10-03T18:12:41+00:00,51.516271,-0.092971,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False,2022-10-03 18:12:41+00:00
Person search,2022-10-03T18:14:55+00:00,51.516271,-0.092971,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-10-03 18:14:55+00:00
Person search,2022-10-03T20:51:11+00:00,51.511332,-0.077959,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-10-03 20:51:11+00:00
Person and Vehicle search,2022-10-03T22:33:47+00:00,51.517369,-0.094655,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2022-10-03 22:33:47+00:00
Person search,2022-10-03T22:59:02+00:00,51.517369,-0.094655,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2022-10-03 22:59:02+00:00
Person search,2022-10-04T01:23:57+00:00,,,Male,18-24,Misuse of Drugs Act 1971 (section 23),Evidence of offences under the Act,A no further action disposal,False,False,2022-10-04 01:23:57+00:00
Person search,2022-10-04T01:26:27+00:00,51.513874,-0.096501,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-10-04 01:26:27+00:00
Person search,2022-10-04T04:32:51+00:00,51.509744,-0.089208,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2022-10-04 04:32:51+00:00
Person search,2022-10-04T12:11:49+00:00,51.513542,-0.073456,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,True,False,2022-10-04 12:11:49+00:00
Person and Vehicle search,2022-10-04T13:18:47+00:00,51.516271,-0.092971,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-10-04 13:18:47+00:00
Person search,2022-10-05T09:50:14+00:00,51.513736,-0.095224,Female,10-17,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,False,2022-10-05 09:50:14+00:00
Person search,2022-10-05T10:23:47+00:00,51.513736,-0.095224,Female,10-17,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,False,2022-10-05 10:23:47+00:00
Person search,2022-10-05T15:10:28+00:00,,,Female,18-24,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2022-10-05 15:10:28+00:00
Person search,2022-10-05T15:17:16+00:00,,,Female,18-24,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2022-10-05 15:17:16+00:00
Person search,2022-10-05T16:02:25+00:00,51.517326,-0.079883,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,True,False,2022-10-05 16:02:25+00:00
Person search,2022-10-06T18:21:39+00:00,,,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2022-10-06 18:21:39+00:00
Person and Vehicle search,2022-10-06T19:03:50+00:00,51.513647,-0.07433,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-10-06 19:03:50+00:00
Person search,2022-10-06T19:33:19+00:00,51.513647,-0.07433,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-10-06 19:33:19+00:00
Person and Vehicle search,2022-10-06T21:13:00+00:00,51.512658,-0.092531,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2022-10-06 21:13:00+00:00
Person search,2022-10-06T23:43:43+00:00,,,Male,18-24,Firearms Act 1968 (section 47),Firearms,A no further action disposal,False,False,2022-10-06 23:43:43+00:00
Person search,2022-10-07T01:18:18+00:00,,,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2022-10-07 01:18:18+00:00
Person search,2022-10-07T03:07:29+00:00,,,Male,,Firearms Act 1968 (section 47),Firearms,A no further action disposal,False,False,2022-10-07 03:07:29+00:00
Person search,2022-10-07T03:32:53+00:00,,,Male,,Firearms Act 1968 (section 47),Firearms,A no further action disposal,False,False,2022-10-07 03:32:53+00:00
Person search,2022-10-07T05:41:22+00:00,51.515062,-0.097144,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,False,2022-10-07 05:41:22+00:00
Person search,2022-10-07T05:52:53+00:00,51.515062,-0.097144,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,False,2022-10-07 05:52:53+00:00
Person search,2022-10-07T16:50:15+00:00,51.513647,-0.07433,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-10-07 16:50:15+00:00
Person search,2022-10-07T16:56:14+00:00,51.513647,-0.07433,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-10-07 16:56:14+00:00
Person search,2022-10-07T17:05:19+00:00,51.513647,-0.07433,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-10-07 17:05:19+00:00
Person search,2022-10-07T17:12:46+00:00,51.513666,-0.078278,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-10-07 17:12:46+00:00
Person search,2022-10-08T16:03:44+00:00,,,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,Arrest,True,False,2022-10-08 16:03:44+00:00
Person search,2022-10-08T21:04:34+00:00,,,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,A no further action disposal,True,False,2022-10-08 21:04:34+00:00
Person search,2022-10-09T02:26:24+00:00,51.51636,-0.082993,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-10-09 02:26:24+00:00
Person search,2022-10-09T02:33:31+00:00,51.518166,-0.093886,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-10-09 02:33:31+00:00
Person search,2022-10-09T03:07:10+00:00,51.51636,-0.082993,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-10-09 03:07:10+00:00
