Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person search,2019-12-01T01:48:53+00:00,51.516814,-0.08162,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2019-12-01 01:48:53+00:00
Person search,2019-12-01T02:17:49+00:00,51.513952,-0.085833,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,True,False,2019-12-01 02:17:49+00:00
Person and Vehicle search,2019-12-02T01:24:53+00:00,51.520744,-0.089858,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2019-12-02 01:24:53+00:00
Person search,2019-12-02T01:47:31+00:00,,,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2019-12-02 01:47:31+00:00
Person and Vehicle search,2019-12-02T02:09:00+00:00,51.517184,-0.076747,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2019-12-02 02:09:00+00:00
Person search,2019-12-02T03:14:04+00:00,51.511625,-0.081549,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,False,2019-12-02 03:14:04+00:00
Person search,2019-12-02T04:51:16+00:00,51.509775,-0.085014,Female,25-34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,True,False,2019-12-02 04:51:16+00:00
Person search,2019-12-02T06:13:49+00:00,51.516814,-0.08162,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2019-12-02 06:13:49+00:00
Person and Vehicle search,2019-12-02T10:20:20+00:00,51.517196,-0.085149,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2019-12-02 10:20:20+00:00
Person search,2019-12-02T12:31:41+00:00,51.515523,-0.077451,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2019-12-02 12:31:41+00:00
Person search,2019-12-03T09:48:08+00:00,51.517431,-0.082458,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2019-12-03 09:48:08+00:00
Person and Vehicle search,2019-12-04T02:33:41+00:00,51.516814,-0.08162,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2019-12-04 02:33:41+00:00
Person search,2019-12-04T02:53:26+00:00,51.516814,-0.08162,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2019-12-04 02:53:26+00:00
Person search,2019-12-04T03:15:57+00:00,51.513114,-0.086272,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2019-12-04 03:15:57+00:00
Person search,2019-12-04T06:36:19+00:00,51.51806,-0.110683,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Penalty Notice for Disorder,True,False,2019-12-04 06:36:19+00:00
Person search,2019-12-04T10:14:00+00:00,51.506255,-0.074901,Female,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2019-12-04 10:14:00+00:00
Person search,2019-12-04T12:37:18+00:00,51.51768,-0.078484,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False,2019-12-04 12:37:18+00:00
Person search,2019-12-04T12:38:18+00:00,51.51768,-0.078484,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2019-12-04 12:38:18+00:00
Person search,2019-12-05T02:32:34+00:00,51.508066,-0.08778,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2019-12-05 02:32:34+00:00
Person search,2019-12-05T02:33:26+00:00,51.508066,-0.08778,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2019-12-05 02:33:26+00:00
Person search,2019-12-05T02:41:50+00:00,51.508066,-0.08778,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2019-12-05 02:41:50+00:00
Person search,2019-12-05T03:25:38+00:00,51.513051,-0.104001,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2019-12-05 03:25:38+00:00
