Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person search,2018-10-01T21:53:28+00:00,51.517149,-0.08776,Female,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False,2018-10-01 21:53:28+00:00
Person and Vehicle search,2018-10-01T22:02:09+00:00,51.518511,-0.08531,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2018-10-01 22:02:09+00:00
Person search,2018-10-02T16:21:43+00:00,,,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2018-10-02 16:21:43+00:00
Person search,2018-10-02T16:51:56+00:00,51.519507,-0.08844,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2018-10-02 16:51:56+00:00
Person search,2018-10-02T17:50:37+00:00,,,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2018-10-02 17:50:37+00:00
Person search,2018-10-02T19:39:08+00:00,,,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False,2018-10-02 19:39:08+00:00
Person search,2018-10-03T04:34:58+00:00,51.512387,-0.082512,Male,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,True,False,2018-10-03 04:34:58+00:00
Person search,2018-10-03T07:56:31+00:00,,,Female,25-34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,True,False,2018-10-03 07:56:31+00:00
Person search,2018-10-03T09:17:00+00:00,,,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,True,False,2018-10-03 09:17:00+00:00
Person search,2018-10-03T11:56:21+00:00,,,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,True,False,2018-10-03 11:56:21+00:00
Person search,2018-10-03T19:21:26+00:00,,,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2018-10-03 19:21:26+00:00
Person search,2018-10-04T08:35:17+00:00,,,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2018-10-04 08:35:17+00:00
Person and Vehicle search,2018-10-04T17:43:03+00:00,,,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2018-10-04 17:43:03+00:00
Person search,2018-10-05T11:05:36+00:00,,,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,True,False,2018-10-05 11:05:36+00:00
Person search,2018-10-06T07:18:42+00:00,51.514501,-0.089716,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2018-10-06 07:18:42+00:00
Person and Vehicle search,2018-10-06T09:52:30+00:00,51.506255,-0.074901,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2018-10-06 09:52:30+00:00
Person and Vehicle search,2018-10-06T16:37:20+00:00,,,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2018-10-06 16:37:20+00:00
Vehicle search,2018-10-06T20:12:39+00:00,,,,,,,,,,2018-10-06 20:12:39+00:00
Person search,2018-10-06T22:32:17+00:00,51.513647,-0.07433,Female,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2018-10-06 22:32:17+00:00
