Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person and Vehicle search,2019-10-01T04:31:39+00:00,51.509313,-0.07385,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2019-10-01 04:31:39+00:00
Person search,2019-10-01T04:39:27+00:00,51.509313,-0.07385,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2019-10-01 04:39:27+00:00
Person search,2019-10-01T04:48:13+00:00,51.509313,-0.07385,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2019-10-01 04:48:13+00:00
Person search,2019-10-01T11:21:50+00:00,51.510671,-0.084284,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2019-10-01 11:21:50+00:00
Person search,2019-10-02T01:02:26+00:00,51.513952,-0.085833,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2019-10-02 01:02:26+00:00
Person search,2019-10-02T01:07:41+00:00,,,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2019-10-02 01:07:41+00:00
Person search,2019-10-02T03:06:24+00:00,51.510913,-0.101395,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2019-10-02 03:06:24+00:00
Person search,2019-10-02T04:17:26+00:00,51.513377,-0.096363,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,True,False,2019-10-02 04:17:26+00:00
Person search,2019-10-02T08:19:04+00:00,,,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2019-10-02 08:19:04+00:00
Person search,2019-10-02T10:24:53+00:00,51.517576,-0.079786,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2019-10-02 10:24:53+00:00
