Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person search,2020-01-01T02:53:14+00:00,,,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2020-01-01 02:53:14+00:00
Person search,2020-01-01T05:08:30+00:00,51.512598,-0.084967,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2020-01-01 05:08:30+00:00
Person search,2020-01-01T05:10:30+00:00,51.512598,-0.084967,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2020-01-01 05:10:30+00:00
Person search,2020-01-01T05:26:13+00:00,51.512598,-0.084967,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2020-01-01 05:26:13+00:00
Person search,2020-01-01T05:32:02+00:00,51.512745,-0.08904,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2020-01-01 05:32:02+00:00
Person and Vehicle search,2020-01-01T05:36:43+00:00,51.512598,-0.084967,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2020-01-01 05:36:43+00:00
Person search,2020-01-01T05:40:36+00:00,51.512598,-0.084967,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2020-01-01 05:40:36+00:00
Person search,2020-01-01T05:50:10+00:00,51.520348,-0.095914,Female,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2020-01-01 05:50:10+00:00
Person search,2020-01-01T06:11:49+00:00,51.516508,-0.079398,Male,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2020-01-01 06:11:49+00:00
Person search,2020-01-01T06:56:01+00:00,51.511624,-0.09475,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2020-01-01 06:56:01+00:00
Person search,2020-01-01T07:51:31+00:00,51.511923,-0.086624,Female,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2020-01-01 07:51:31+00:00
Person search,2020-01-01T07:59:46+00:00,51.516814,-0.08162,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,True,False,2020-01-01 07:59:46+00:00
Person and Vehicle search,2020-01-01T08:12:36+00:00,51.517577,-0.098062,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2020-01-01 08:12:36+00:00
Person search,2020-01-01T08:20:45+00:00,51.516814,-0.08162,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2020-01-01 08:20:45+00:00
Person and Vehicle search,2020-01-01T08:40:07+00:00,51.513885,-0.102741,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2020-01-01 08:40:07+00:00
Person search,2020-01-01T09:05:02+00:00,51.518433,-0.078856,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2020-01-01 09:05:02+00:00
Person search,2020-01-01T10:00:19+00:00,51.514457,-0.073849,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2020-01-01 10:00:19+00:00
Person search,2020-01-01T10:02:11+00:00,51.514457,-0.073849,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2020-01-01 10:02:11+00:00
Person search,2020-01-02T01:15:14+00:00,,,Female,over 34,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2020-01-02 01:15:14+00:00
Person search,2020-01-02T02:07:16+00:00,51.516814,-0.08162,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False,2020-01-02 02:07:16+00:00
Person and Vehicle search,2020-01-02T04:54:34+00:00,51.520846,-0.100593,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2020-01-02 04:54:34+00:00
Person search,2020-01-02T05:26:37+00:00,51.513114,-0.086272,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2020-01-02 05:26:37+00:00
Person search,2020-01-02T05:57:15+00:00,51.513952,-0.085833,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2020-01-02 05:57:15+00:00
Person and Vehicle search,2020-01-02T07:41:52+00:00,51.51265,-0.101452,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2020-01-02 07:41:52+00:00
Person search,2020-01-02T08:04:52+00:00,51.51768,-0.078484,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2020-01-02 08:04:52+00:00
Person search,2020-01-02T08:30:34+00:00,51.517244,-0.080376,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,True,False,2020-01-02 08:30:34+00:00
Person search,2020-01-02T08:31:33+00:00,51.507133,-0.121813,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2020-01-02 08:31:33+00:00
Person search,2020-01-02T08:42:44+00:00,51.511794,-0.088042,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2020-01-02 08:42:44+00:00
Person search,2020-01-02T09:01:44+00:00,,,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2020-01-02 09:01:44+00:00
Person search,2020-01-02T09:03:16+00:00,51.516814,-0.08162,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2020-01-02 09:03:16+00:00
Person search,2020-01-02T09:12:36+00:00,51.516814,-0.08162,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2020-01-02 09:12:36+00:00
Person and Vehicle search,2020-01-02T10:19:13+00:00,,,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2020-01-02 10:19:13+00:00
Person and Vehicle search,2020-01-03T01:29:09+00:00,51.513389,-0.080034,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2020-01-03 01:29:09+00:00
Person search,2020-01-03T03:29:06+00:00,51.513377,-0.096363,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,True,2020-01-03 03:29:06+00:00
Person and Vehicle search,2020-01-03T04:05:21+00:00,51.516966,-0.1059,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,True,2020-01-03 04:05:21+00:00
