Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person search,2019-09-01T02:56:26+00:00,,,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,A no further action disposal,True,False,2019-09-01 02:56:26+00:00
Person search,2019-09-01T06:26:04+00:00,51.516814,-0.08162,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,False,False,2019-09-01 06:26:04+00:00
Person search,2019-09-02T00:30:40+00:00,,,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2019-09-02 00:30:40+00:00
Person search,2019-09-02T00:53:32+00:00,,,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2019-09-02 00:53:32+00:00
Person search,2019-09-02T00:56:12+00:00,51.51265,-0.101452,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,False,2019-09-02 00:56:12+00:00
Person and Vehicle search,2019-09-02T01:32:11+00:00,51.510306,-0.061501,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,False,False,2019-09-02 01:32:11+00:00
Person and Vehicle search,2019-09-02T01:57:34+00:00,51.512651,-0.08655,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2019-09-02 01:57:34+00:00
Person and Vehicle search,2019-09-02T02:26:13+00:00,51.512651,-0.08655,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2019-09-02 02:26:13+00:00
Person search,2019-09-02T02:56:30+00:00,51.520985,-0.078749,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2019-09-02 02:56:30+00:00
Person search,2019-09-02T03:25:45+00:00,51.50995,-0.078665,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2019-09-02 03:25:45+00:00
Person search,2019-09-02T04:04:24+00:00,,,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2019-09-02 04:04:24+00:00
Person and Vehicle search,2019-09-02T05:36:37+00:00,51.517431,-0.082458,Male,25-34,Misuse of Drugs Act 1971 (section 23),Evidence of offences under the Act,A no further action disposal,False,False,2019-09-02 05:36:37+00:00
Person search,2019-09-02T07:02:28+00:00,51.517431,-0.082458,Female,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2019-09-02 07:02:28+00:00
Person and Vehicle search,2019-09-02T08:19:26+00:00,51.511445,-0.07608,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,True,False,2019-09-02 08:19:26+00:00
Person and Vehicle search,2019-09-02T10:34:15+00:00,51.511445,-0.07608,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,False,False,2019-09-02 10:34:15+00:00
Person and Vehicle search,2019-09-03T08:11:09+00:00,51.517184,-0.076747,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,False,False,2019-09-03 08:11:09+00:00
