Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person search,2025-01-18T17:15:49+00:00,,,Male,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2025-01-18 17:15:49+00:00
Person search,2025-01-18T19:52:24+00:00,,,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2025-01-18 19:52:24+00:00
Person and Vehicle search,2025-01-18T23:44:21+00:00,51.517332,-0.098519,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2025-01-18 23:44:21+00:00
Person and Vehicle search,2025-01-19T00:04:31+00:00,51.517332,-0.098519,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2025-01-19 00:04:31+00:00
Person search,2025-01-19T15:54:58+00:00,,,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2025-01-19 15:54:58+00:00
Person search,2025-01-19T21:24:27+00:00,51.521583,-0.108894,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2025-01-19 21:24:27+00:00
Person search,2025-01-20T05:01:42+00:00,51.511884,-0.108027,Female,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2025-01-20 05:01:42+00:00
Person search,2025-01-20T05:37:03+00:00,51.511884,-0.108027,Female,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2025-01-20 05:37:03+00:00
Person and Vehicle search,2025-01-20T13:24:37+00:00,,,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2025-01-20 13:24:37+00:00
Person search,2025-01-20T21:01:06+00:00,,,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2025-01-20 21:01:06+00:00
Person search,2025-01-20T21:08:38+00:00,,,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2025-01-20 21:08:38+00:00
Person search,2025-01-20T21:09:07+00:00,,,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2025-01-20 21:09:07+00:00
Person search,2025-01-20T21:25:03+00:00,51.517785,-0.079907,Female,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,True,False,2025-01-20 21:25:03+00:00
Person and Vehicle search,2025-01-20T21:28:30+00:00,,,Male,over 34,Misuse of Drugs Act 1971 (section 23),Evidence of offences under the Act,A no further action disposal,False,False,2025-01-20 21:28:30+00:00
Person search,2025-01-21T02:13:22+00:00,51.509744,-0.089208,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2025-01-21 02:13:22+00:00
Person and Vehicle search,2025-01-21T04:04:10+00:00,,,Female,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2025-01-21 04:04:10+00:00
Person search,2025-01-22T02:33:12+00:00,51.513631,-0.086019,Female,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2025-01-22 02:33:12+00:00
Person and Vehicle search,2025-01-22T02:43:33+00:00,51.513631,-0.086019,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2025-01-22 02:43:33+00:00
Person and Vehicle search,2025-01-22T10:14:31+00:00,,,Female,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2025-01-22 10:14:31+00:00
Person search,2025-01-22T14:53:03+00:00,51.514626,-0.097291,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,False,2025-01-22 14:53:03+00:00
Person search,2025-01-22T16:20:11+00:00,51.512105,-0.085089,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,False,2025-01-22 16:20:11+00:00
Person search,2025-01-22T22:18:18+00:00,51.548586,-0.108784,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2025-01-22 22:18:18+00:00
Person and Vehicle search,2025-01-23T00:06:12+00:00,51.510725,-0.084844,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2025-01-23 00:06:12+00:00
Person search,2025-01-23T01:59:04+00:00,,,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,A no further action disposal,False,False,2025-01-23 01:59:04+00:00
Person search,2025-01-23T03:20:07+00:00,51.513079,-0.09407,Male,18-24,Misuse of Drugs Act 1971 (section 23),Evidence of offences under the Act,A no further action disposal,False,False,2025-01-23 03:20:07+00:00
Person search,2025-01-23T03:43:04+00:00,51.513079,-0.09407,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2025-01-23 03:43:04+00:00
Person search,2025-01-23T14:08:10+00:00,,,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2025-01-23 14:08:10+00:00
Person search,2025-01-23T14:23:56+00:00,51.51636,-0.082993,Female,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2025-01-23 14:23:56+00:00
Person search,2025-01-23T14:40:59+00:00,51.51636,-0.082993,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2025-01-23 14:40:59+00:00
Person search,2025-01-23T14:41:58+00:00,,,Female,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,False,2025-01-23 14:41:58+00:00
