Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person search,2017-12-01T00:15:00+00:00,,,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,False,2017-12-01 00:15:00+00:00
Person search,2017-12-01T01:30:00+00:00,,,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,False,False,2017-12-01 01:30:00+00:00
Person search,2017-12-01T01:55:00+00:00,,,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,True,False,2017-12-01 01:55:00+00:00
Person search,2017-12-01T18:57:00+00:00,51.51768,-0.078484,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Nothing found - no further action,False,True,2017-12-01 18:57:00+00:00
Person search,2017-12-01T19:05:00+00:00,51.51768,-0.078484,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Nothing found - no further action,False,False,2017-12-01 19:05:00+00:00
Person search,2017-12-01T22:10:00+00:00,51.52051,-0.08158,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,False,2017-12-01 22:10:00+00:00
Person search,2017-12-02T03:40:00+00:00,51.516814,-0.08162,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Nothing found - no further action,False,False,2017-12-02 03:40:00+00:00
Person search,2017-12-02T13:53:00+00:00,51.513114,-0.086272,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Suspect arrested,,False,2017-12-02 13:53:00+00:00
Person search,2017-12-02T14:20:00+00:00,51.513114,-0.086272,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Nothing found - no further action,,False,2017-12-02 14:20:00+00:00
Person search,2017-12-02T21:27:00+00:00,51.516014,-0.081091,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,False,2017-12-02 21:27:00+00:00
Person search,2017-12-02T22:24:00+00:00,51.516014,-0.081091,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,False,False,2017-12-02 22:24:00+00:00
Person search,2017-12-02T22:30:00+00:00,,,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,False,2017-12-02 22:30:00+00:00
Person search,2017-12-02T22:30:00+00:00,51.516014,-0.081091,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,False,2017-12-02 22:30:00+00:00
Person search,2017-12-02T22:36:00+00:00,51.516014,-0.081091,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,False,2017-12-02 22:36:00+00:00
Person search,2017-12-02T22:36:00+00:00,51.516014,-0.081091,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,False,2017-12-02 22:36:00+00:00
