Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category
18d57f48bc1bb3835f36d0880fcb96f3ebee0e73a7e35bd18f939bef63f7b179,2012-07,City of London Police,City of London Police,-0.096348,51.515472,On or near Foster Lane,E01000001,City of London 001A,Burglary,Offender sent to prison
6f7e802f291471409d937d3f4593b6f8efaddbdccc25b55802eda4f8fcf22055,2012-07,City of London Police,City of London Police,-0.096348,51.515472,On or near Foster Lane,E01000001,City of London 001A,Burglary,Offender sent to prison
27097188461d61ac4ff191b1bdef04d4f0cdce80b982997c69b8efa5173f4f59,2012-07,City of London Police,City of London Police,-0.097334,51.521567,On or near Fann Street,E01000001,City of London 001A,Burglary,Investigation complete; no suspect identified
8d670bed1430ac127c3ebb67cb117dd80fd59d8e38912f7444723ce0c2f27535,2012-07,City of London Police,City of London Police,-0.095892,51.516391,On or near Noble Street,E01000001,City of London 001A,Burglary,Court result unavailable
d05bdae4451658c94c10d421aa7064b6864490eb9240a12350a7ef9277ebf0a5,2012-07,City of London Police,City of London Police,-0.096348,51.515472,On or near Foster Lane,E01000001,City of London 001A,Burglary,Offender sent to prison
340b757907aabd3920e0bde5dab7c7cdf8819916ef5399be5c733c43c1cbb123,2012-07,City of London Police,City of London Police,-0.096348,51.515472,On or near Foster Lane,E01000001,City of London 001A,Burglary,Offender sent to prison
4f7f2811e5b88f4ab0977e8035fa7dbc4623215d2b6d9519cb3c3af28ff94182,2012-07,City of London Police,City of London Police,-0.097334,51.521567,On or near Fann Street,E01000001,City of London 001A,Burglary,Status update unavailable
ae67ad97b30fb5a5343fdc3f520b6746b57fccc105ee372cb2790c64aa6b145a,2012-07,City of London Police,City of London Police,-0.097334,51.521567,On or near Fann Street,E01000001,City of London 001A,Burglary,Investigation complete; no suspect identified
fea48cca9d4e00b1a0dd7b2aa13b75997b907a86736f2b2108ae0885d9c6b4da,2012-07,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Burglary,Offender given a caution
06f58352253a7fb860b0129177e61505f02ebb3ae048301ee348737abac0257a,2012-07,City of London Police,City of London Police,-0.09586,51.52166,On or near Fann Street,E01000003,City of London 001C,Burglary,Status update unavailable
7fbba03d7afefdcc23bd4377bb9b32a02c1742a0ab150822a053d040b16b2617,2012-07,City of London Police,City of London Police,-0.075389,51.511775,On or near Minories,E01000005,City of London 001E,Burglary,Court result unavailable
aa154a37e22ebca94c11bcbfab87ef572379ffebf3f9c4d623befa5761ffc55b,2012-07,City of London Police,City of London Police,-0.085257,51.5112,On or near Talbot Court,E01032739,City of London 001F,Burglary,Court result unavailable
8f6fbc5a8559e5f530052c1bb492b5bbb29f437853890e76849b1ef2575a3409,2012-07,City of London Police,City of London Police,-0.098777,51.512526,On or near Knightrider Street,E01032739,City of London 001F,Burglary,Offender sent to prison
4aa97ecd07ecf98e23165a4e2924f6c8df1d75ed6ca0304237a35b0d9a3a26fc,2012-07,City of London Police,City of London Police,-0.101959,51.513297,On or near Carter Lane,E01032739,City of London 001F,Burglary,Offender sent to prison
d1bc4c4682481e19a295ea8e472664f980fa5774c14ce6dff88b85d68ba4f9d7,2012-07,City of London Police,City of London Police,-0.087086,51.512596,On or near Lombard Street,E01032739,City of London 001F,Burglary,Status update unavailable
c60f98f3facbf9e066a61c4465a87c9b1154b011bbc851070f2a3b39bd8b03da,2012-07,City of London Police,City of London Police,-0.101575,51.513857,On or near Ludgate Hill,E01032739,City of London 001F,Burglary,Court result unavailable
