Team,Venue,Borough,Total_Burglaries,Data_Months,Match_Months,No_Match_Months,Avg_Burglary_Match,Avg_Burglary_No_Match,Difference,Percentage_Change,Correlation,P_Value,Significant,Data_Period
Arsenal,Emirates Stadium,Islington,3982,36,21,15,114.71428571428571,104.86666666666666,9.847619047619048,9.390609390609391,0.14736262618529467,0.09371363323032127,False,2022-03 to 2025-02
Chelsea,Stamford Bridge,Hammersmith and Fulham,3911,36,23,13,105.43478260869566,114.3076923076923,-8.87290969899665,-7.762303235999762,-0.3666682489093123,0.04153535294535878,True,2022-03 to 2025-02
Tottenham,Tottenham Hotspur Stadium,Haringey,2212,36,22,14,64.36363636363636,56.857142857142854,7.506493506493506,13.202375513933301,0.301034423242322,0.01467262225185913,True,2022-03 to 2025-02
West Ham,London Stadium,Newham,2891,36,22,14,81.5909090909091,78.28571428571429,3.3051948051948017,4.221964167219637,-0.017472357450277646,0.5351213563947516,False,2022-03 to 2025-02
