Team,Venue,Borough,Total_Burglaries,Unique_LSOAs,Data_Months,Match_Months,No_Match_Months,Avg_Burglary_Match,Avg_Burglary_No_Match,Std_Match,Std_No_Match,Difference,Percentage_Change,Avg_Distance_Match,Avg_Distance_No_Match,Distance_Difference,Avg_LSOAs_Match,Avg_LSOAs_No_Match,LSOA_Difference,T_Statistic,P_Value_TTest,U_Statistic,P_Value_Mann_Whitney,Cohens_D,Effect_Size,Significant_TTest,Significant_Mann_Whitney,Correlation_Matches_Burglary,Correlation_Attendance_Burglary,Correlation_Goals_Burglary,Data_Period
Arsenal,Emirates Stadium,Islington,13063,131,96,68,28,139.3235294117647,128.17857142857142,33.238819768399374,35.80508299465271,11.14495798319328,8.694868306754302,1.312935975270349,1.3091339528941137,0.003802022376235392,69.94117647058823,66.57142857142857,3.3697478991596626,1.4599949606466673,0.14762559579142967,1169.0,0.08091182759367357,0.3278336290331709,Small,False,False,0.10198768281895663,0.17916615253320112,0.10837575398630193,2017-03 to 2025-02
Chelsea,Stamford Bridge,Hammersmith and Fulham,12116,131,96,70,26,127.98571428571428,121.42307692307692,25.77522282738293,25.645542422687146,6.562637362637361,5.404769446581292,1.29937151700479,1.300498557742779,-0.0011270407379890823,69.07142857142857,66.6923076923077,2.379120879120876,1.1100856596741289,0.2697938030819113,1032.5,0.314382575469643,0.2549508210432676,Small,False,False,0.05137855874484444,0.21436017702191582,0.06890122607812035,2017-03 to 2025-02
Tottenham,Wembley Stadium,Haringey,4199,65,96,70,26,45.5,39.0,14.561961565588653,8.809086218218097,6.5,16.666666666666664,1.3263724139786015,1.2858220666903304,0.040550347288271116,26.557142857142857,24.384615384615383,2.1725274725274737,2.131554544569213,0.03565169910908851,1152.0,0.0462574764346977,0.4895492311791138,Small,True,True,0.11978323039464725,0.414162710828189,0.13502525085933972,2017-03 to 2025-02
West Ham,London Stadium,Newham,8232,95,96,69,27,87.57971014492753,81.07407407407408,17.157922023078513,18.038262593135663,6.5056360708534555,8.024311279718743,1.366130500431029,1.344493668467616,0.021636831963412817,38.130434782608695,38.629629629629626,-0.49919484702093087,1.6465112447415076,0.10299799494754087,1084.0,0.21532810300402927,0.3737609200143799,Small,False,False,0.11158809605999107,0.27846054107467477,0.03419670755419783,2017-03 to 2025-02
